	st411	st413	st415	st441	st449	st451	st265	st266	st301	st302	st311	st312	st361	st362	st409	st410	st193	st194	st195	st196	st305	st306	st307	st308	st333	st334	st335	st336	st363	st364	st365	st366	st405	st406	st407	st408	st225	st226	st227	st228	st229	st230	st231	st232	st337	st338	st339	st340	st341	st342	st343	st344	st369	st370	st371	st372	st373	st374	st375	st376	st393	st394	st395	st396	st397	st398	st399	st400	st417	st418	st419	st420	st421	st422	st423	st424	st481	st482	st483	st484	st485	st486	st487	st488	st249	st250	st251	st252	st253	st254	st255	st256	st257	st258	st259	st260	st261	st262	st263	st264	st313	st314	st315	st316	st317	st318	st319	st320	st321	st322	st323	st324	st325	st327	st328	st345	st346	st347	st348	st349	st350	st351	st352	st353	st354	st355	st356	st357	st358	st359	st360	st377	st378	st379	st380	st381	st382	st383	st385	st386	st387	st388	st389	st390	st391	st392	st425	st426	st427	st428	st429	st430	st431	st432	st433	st434	st435	st436	st437	st438	st439	st440	st527	st528	st529	st530	st531	st532	st533	st535	st536	st537	st538	st539	st540	st541	st542	st465	st466	st467	st468	st469	st470	st471	st472	st473	st474	st475	st476	st477	st478	st479	st505	st506	st507	st508	st509	st510	st513	st514	st515	st516	st517	st518	st519	st520	st554	st555	st556	st557	st558	st561	st562	st563	st564	st565	st566	st567	st568
ERCC-00077	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	11	10	0	13	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	39	0	0	0	304	0	0	0	0	0	12	0	6	7	0	2	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	39	35	38	0	25	68	16	10	0	0	0	47	0	0	0	0	0	0	0	40	0	0	0	0	1	0	0	0	0	0	1	0	0	0	59	0	29	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	26	72	0	0	0	44	0	0	45	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	64	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00078	249	0	0	139	0	0	135	163	0	0	63	0	0	4	0	0	401	403	119	199	0	1	0	0	0	0	105	275	326	0	0	597	735	0	0	0	4	0	0	0	1	3	0	1	0	133	0	0	0	0	251	239	193	0	0	1	0	1	552	609	0	0	0	472	389	0	1	0	933	1007	900	988	654	638	1037	759	0	0	0	0	1	0	0	0	306	1	501	32	2	530	1	0	1	2442	1200	2	302	2	0	1213	83	0	0	0	0	0	0	217	1	693	318	0	0	0	410	0	437	33	0	0	0	0	0	1	0	1494	0	0	0	0	10	0	0	0	726	1350	1092	1178	0	1200	1	1268	806	1	0	988	0	586	0	2	1142	1	794	0	0	0	0	1	0	0	0	2	1357	0	722	0	5	0	502	411	343	1	0	0	0	0	0	0	0	659	0	0	0	0	0	0	0	0	0	0	0	0	1	5	29	0	0	0	1	2558	5	3	3	5	0	0	1	13	0	0	4	0	8	0	0	1	125	0	3
ERCC-00079	121	0	0	73	92	0	0	123	13	12	20	0	0	1	55	382	358	245	67	292	0	36	0	0	61	54	47	1	3	243	223	0	439	0	0	0	141	1	506	2	1	0	1	0	234	308	0	310	0	207	191	169	0	374	294	333	279	436	116	739	186	0	341	1	307	339	0	215	793	786	682	753	583	1	592	658	0	0	0	3	977	2	0	0	410	0	0	0	1	115	0	342	1	604	210	865	2	0	0	0	0	142	570	147	227	917	1	127	0	440	225	1	607	987	138	0	157	44	127	2	0	287	0	1026	344	695	0	0	2	756	671	0	0	876	344	1297	655	1000	859	910	446	1086	1	547	768	501	429	317	563	820	95	488	412	2	3	838	6	1674	3	1526	3	755	1014	3	504	698	264	1075	852	303	1	256	272	0	0	442	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1080	3	5	315	647	887	4	1	1484	1	4	7	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0
ERCC-00081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00084	0	0	0	0	2	0	0	0	0	0	17	23	0	2	0	0	658	54	129	0	0	0	0	0	0	134	0	0	0	0	28	13	184	971	73	0	0	7	0	0	0	0	1	1	0	293	249	3	2	0	0	277	1	0	80	2	1	2	0	0	399	1	0	0	0	643	0	0	761	264	416	1069	824	0	841	745	0	0	0	0	2	321	0	0	1	0	1	593	0	0	0	0	0	1	3	0	2	3	1	1025	67	0	0	0	0	0	0	3	396	0	0	0	1227	2	1	0	0	61	0	1	555	1	0	0	1	0	0	0	0	0	0	2	0	72	0	1384	2	0	5	1293	0	637	20	0	0	2	1364	2	0	2	3	9	4	6	4	0	1	1143	3	1	3	1550	1215	2	5	873	3	1	0	9	2	6	626	412	1380	4	11	0	2	0	0	0	0	0	622	1	0	0	0	0	162	0	0	0	2	0	2	0	0	0	349	0	0	0	0	0	0	0	0	0	298	0	0	0	0	1	0	0	0
ERCC-00085	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	162	0	164	60	0	0	159	0	0	0	0	0	0	469	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	450	5	0	0	0	0	495	522	0	0	0	0	0	0	254	0	0	0	0	0	1	1	196	37	0	258	341	529	0	560	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	315	88	0	0	0	0	0	1	0	0	0	0	304	0	0	0	0	307	1	0	0	1016	0	1	0	0	0	0	169	0	0	0	0	0	0	0	133	840	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	701	1	0	1	0	1	1008	0	402	633	1	960	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00092	0	1	5	193	194	0	179	0	0	0	94	73	0	4	414	1011	2074	1864	887	2478	185	475	555	247	374	77	501	510	628	2036	600	2	1317	1232	1258	1126	29	139	5	951	2528	5	622	13	1020	853	850	806	723	529	825	523	884	1145	0	739	635	866	1386	2011	974	1643	1104	860	856	1694	1733	2548	3633	4614	4044	3299	4628	4705	4254	3172	411	1	108	1371	0	0	0	2	987	2166	578	934	978	1398	1976	771	1239	2897	3275	4619	1709	5	13	1852	887	917	1135	0	1	2118	0	731	838	1258	649	58	26	11	922	441	903	429	801	562	1592	1238	1868	4812	1743	1799	760	703	2410	1407	2156	4013	1896	1477	2237	2990	2	601	3074	2088	1648	3560	2619	2722	2943	1200	2905	2079	3912	1854	1725	3714	1918	1948	2205	2364	4222	3119	2551	40	3596	4030	2415	1532	1659	1013	621	2268	575	698	349	437	708	496	1690	1162	967	5	0	438	1544	3	86	1189	1	1182	20	5	5	3	992	1622	2853	747	1280	2065	18	150	17	3352	548	1904	2599	784	7	2160	2	7	145	0	1	0	9	0	0	289	11	4	3
ERCC-00095	96	0	0	0	0	0	180	0	3	17	41	68	1	61	89	621	1034	536	378	697	47	124	2	39	122	43	168	250	340	231	212	258	454	2	513	192	3	289	400	343	1	451	22	3	512	94	244	201	166	194	187	147	355	603	1	206	252	1	20	561	243	529	234	271	14	664	0	537	1340	1288	1174	1264	895	1492	1446	868	0	0	1	0	0	0	495	0	494	1057	275	227	115	625	1044	425	467	1333	756	931	668	1	18	636	71	299	396	104	206	1237	0	1	156	143	87	6	0	976	124	1	190	448	91	57	0	512	312	1281	528	741	215	159	0	282	569	1119	2	666	287	822	393	1347	682	1056	570	1068	453	1038	1280	354	873	672	509	653	1394	1405	579	1511	770	827	645	629	1104	1756	652	1124	558	449	414	1	166	447	937	0	265	171	365	286	1	0	313	0	634	3	566	536	535	0	2	589	489	0	1608	1	0	3	549	567	12	545	890	458	840	1973	2336	1180	870	816	639	344	0	1	8	454	1	2	0	410	2	1	2	3	1
