	st411	st413	st415	st441	st449	st451	st265	st266	st301	st302	st311	st312	st361	st362	st409	st410	st193	st194	st195	st196	st305	st306	st307	st308	st333	st334	st335	st336	st363	st364	st365	st366	st405	st406	st407	st408	st225	st226	st227	st228	st229	st230	st231	st232	st337	st338	st339	st340	st341	st342	st343	st344	st369	st370	st371	st372	st373	st374	st375	st376	st393	st394	st395	st396	st397	st398	st399	st400	st417	st418	st419	st420	st421	st422	st423	st424	st481	st482	st483	st484	st485	st486	st487	st488	st249	st250	st251	st252	st253	st254	st255	st256	st257	st258	st259	st260	st261	st262	st263	st264	st313	st314	st315	st316	st317	st318	st319	st320	st321	st322	st323	st324	st325	st327	st328	st345	st346	st347	st348	st349	st350	st351	st352	st353	st354	st355	st356	st357	st358	st359	st360	st377	st378	st379	st380	st381	st382	st383	st385	st386	st387	st388	st389	st390	st391	st392	st425	st426	st427	st428	st429	st430	st431	st432	st433	st434	st435	st436	st437	st438	st439	st440	st527	st528	st529	st530	st531	st532	st533	st535	st536	st537	st538	st539	st540	st541	st542	st465	st466	st467	st468	st469	st470	st471	st472	st473	st474	st475	st476	st477	st478	st479	st505	st506	st507	st508	st509	st510	st513	st514	st515	st516	st517	st518	st519	st520	st554	st555	st556	st557	st558	st561	st562	st563	st564	st565	st566	st567	st568
ERCC-00096	3158	2214	58	6085	3638	1932	3382	4630	1091	1582	1373	1499	2609	2936	2743	18526	36390	27732	17402	29828	2828	3879	2856	2818	3222	3499	4532	4729	6717	11109	6904	11091	12747	11568	9327	7437	3144	3925	12808	7603	26416	13387	6506	3488	10376	8967	7995	8664	8028	9282	8446	7428	8717	11944	8351	6340	7315	12714	8777	21280	9126	17410	7261	8336	15486	16314	17745	24731	45629	51712	41128	45808	45951	42738	54039	41327	8142	19106	8316	8444	26765	18651	25897	21021	14023	25142	17883	17502	7505	22277	24952	12593	13370	50375	33868	43425	29138	144	10324	38260	6253	7763	18289	7693	5056	20493	11602	7637	8783	13398	7976	5851	24676	55909	7378	3660	13748	19432	7063	5308	13532	14894	20196	62741	17051	34345	7930	6515	30744	25833	23559	28623	46305	31951	18488	52562	35397	39026	42339	38979	19183	49338	36654	46048	43512	42698	26102	21243	42094	46812	37482	35586	18361	32428	30853	12584	34962	33457	36285	30124	35304	55108	38588	30433	26433	13373	12178	37821	55343	12172	13000	9285	19444	11432	21099	15672	13203	21579	15915	4683	15263	8355	11968	23515	7412	11873	11433	14559	26674	22169	9799	18189	55870	15678	30507	32959	37661	24419	31358	61913	70788	49914	34901	68143	24177	23259	125	1311	10320	524	846	749	699	662	661	6621	844	2394	5728
ERCC-00097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	90	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	957	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00099	0	0	0	0	0	0	1	0	1	38	0	0	0	0	0	0	29	584	94	0	0	0	0	0	64	2	121	0	0	0	0	745	0	0	0	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1106	0	0	0	0	0	0	0	0	0	1	0	0	0	0	844	331	0	407	414	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	195	450	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	28	0	1	0	1241	0	0	0	0	0	0	0	0	1	0	0	1	2	1	1208	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	2	1607	0	0	0	0	0	199	4	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1225	0	1	0	1	0	1	0	1	793	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00108	340	98	1	790	457	45	212	196	275	116	342	218	192	586	538	1900	3521	3434	2030	3355	486	1349	60	818	692	862	781	614	646	1283	140	1557	1598	1232	1401	1168	591	1083	1278	1078	3403	1598	1149	49	1735	1293	1249	1208	1324	1267	1379	1226	1043	1300	6	995	851	1603	737	1815	643	3228	1218	2159	1503	2363	2532	219	5892	5527	5612	6103	5805	5042	8339	5338	1798	2513	1325	1302	1939	9	3059	889	1832	3045	1604	1657	944	1425	2488	1419	1368	3543	4171	4995	3314	12	1618	2209	805	561	2289	702	709	1606	1555	1081	1339	2823	745	1184	3488	34	1016	871	2832	1621	1144	1001	2042	2730	2981	8559	2148	3168	1493	1071	3904	2654	2929	4635	2910	3994	2596	2980	4358	4131	3644	4976	2169	6665	3520	7917	3303	4635	4895	1532	4735	5821	6411	4407	2901	2926	3589	2299	3844	4941	5380	1677	3005	5200	6986	1429	1751	2568	1440	4045	2783	1361	1262	1161	1869	848	2173	1523	762	21	1206	902	2197	1000	866	3295	1254	1207	1477	1027	17	5	1682	2180	6531	1290	1616	2252	4967	1715	4301	3197	9665	4772	4818	4315	2157	1751	0	24	0	1	6	1	26	2	7	1	35	0	4
ERCC-00109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	99	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00111	6	0	2	390	3	235	0	1	37	122	31	34	124	337	2	427	1232	1246	811	1487	242	115	0	9	9	261	344	569	1036	885	165	692	1297	855	458	880	640	781	720	1460	3	1863	146	404	1009	864	318	874	628	822	482	489	1	888	628	227	369	918	605	2	11	1535	1	97	592	1249	2	1737	1950	2471	1938	2128	2139	1820	2444	1767	8	60	599	1	1999	1826	2131	12	411	898	1161	615	375	956	2759	1382	4	12	1984	3109	1547	3	52	1638	244	921	1629	11	540	209	864	711	858	1125	704	533	1335	731	403	8	1202	1117	367	302	1	919	631	3181	1064	2426	868	569	2176	2120	901	849	13	1836	6	1066	2949	2061	3157	2462	1247	3895	1999	4871	1800	1081	1965	756	3662	2261	723	2017	1348	46	1683	575	1653	2028	2773	24	942	3609	2098	1650	2164	9	1057	2061	11	959	48	636	1503	97	238	1408	655	2517	1665	52	966	51	1220	5	3	1	3	1343	5	3	256	1028	2121	15	1837	1986	289	2088	180	16	3933	733	58	3283	10	1460	2	20	1	0	13	0	30	1	1	5	29	2	480
ERCC-00112	1	3	0	0	2	227	277	2	1	156	93	34	424	176	48	1498	838	818	761	742	355	180	0	207	207	172	412	503	816	1203	630	95	563	4	537	501	8	11	166	397	4396	762	241	4	733	852	605	25	766	1	801	0	1205	153	735	520	1116	0	1	0	553	961	841	608	753	864	4784	2363	1596	2755	2185	2385	2218	2608	2935	1747	6	1850	226	3	7	1893	0	4	679	1331	652	3	471	843	1	644	12	1720	4	2799	3	0	682	4	267	14	1023	0	92	1	1318	4	695	1	0	0	1689	1912	3	242	826	0	479	2	0	0	759	0	729	1655	334	516	124	1438	1119	0	1	1585	1005	1646	1228	2	86	2224	1367	1	956	1529	1943	1821	1183	1469	3440	2585	3096	2257	11	1132	2081	14	1562	2026	208	14	11	3095	1617	65	1368	1231	812	1	3135	4	474	440	992	876	1599	3	799	1844	2	293	1	3	2	3	451	2	1	1493	1	0	3	1	8	2	1291	158	2030	902	2404	4	9	3942	871	8	11	1052	0	8	0	0	5	0	8	185	0	0	18	0	2
ERCC-00113	134	491	17	1269	807	332	434	842	275	502	348	467	794	456	605	3934	6650	5509	3015	5508	754	1088	724	700	917	1093	1075	1351	1096	2015	1141	1946	3011	2520	2786	1687	1255	657	3280	2004	7578	2989	1293	1052	2497	1947	2348	2498	1743	1898	1973	1546	1123	1824	1208	1263	2028	2213	1267	4211	2237	3207	1795	2072	3734	3055	4261	4680	10275	12386	10146	10665	10845	6993	13145	9222	2568	2781	2004	2281	5151	3733	4726	3032	2541	4154	2790	3726	1330	3700	4480	2534	2983	10258	7359	9711	7407	43	2378	9341	1381	2197	4111	1802	1242	2851	2309	1892	1852	2706	1614	1738	5399	14500	1480	1206	3600	4727	1732	1307	2214	3376	4209	11028	3804	6668	2064	1433	8141	5247	4949	3023	7448	7263	4285	11215	6583	5891	6610	8291	3049	9211	6853	8262	7574	7571	5842	4565	9252	8543	8289	7430	4705	6763	6363	4347	9672	9385	6990	5166	8563	12194	7096	4680	3325	2815	2355	8968	10758	2005	1977	1664	4068	2066	4691	2055	2192	4744	2722	1132	2061	1918	1147	3631	1732	2473	3069	2757	4562	1975	1628	3036	11402	2295	5709	6796	6882	5335	5838	13187	12717	7839	5201	9717	5567	3467	414	2736	250	930	275	384	787	724	12	5366	154	2031	1601
ERCC-00116	1	0	0	768	307	0	2	638	1	17	0	157	68	105	0	10	2385	2063	339	1283	1	1116	119	2	167	178	43	0	80	122	1	1934	2212	1022	412	1	2	502	6	221	1033	32	99	13	1345	230	811	1530	1237	1514	800	0	51	1	324	505	1450	0	1	308	1089	631	0	190	462	818	1	1	3702	4093	3523	4282	5132	4615	2817	4157	0	1	0	0	1	0	0	0	4	1008	372	185	988	248	3130	5	2068	884	3337	6595	2575	1	8	7	943	12	49	180	178	3	1547	8	23	5	1	0	5	4723	9	733	37	2751	1432	634	1555	705	158	6992	865	2178	1212	626	6	2872	2160	3	4	2235	1317	6419	639	3491	4420	4533	2488	1228	2108	3	3	2	2974	1631	4368	4662	2467	3593	873	14	2936	12	2684	7	5015	1967	2989	3757	2	1	1740	1	1121	1794	2494	0	12	196	1078	258	658	1	575	3	3	0	0	176	1357	0	1349	1	0	1	3	1	1866	1	220	8	10	4481	13	1986	7	12	2252	28	5	4677	413	2240	0	15	1	0	3	0	16	0	1	0	21	3	1
ERCC-00117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	570	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	29	0	0	0	0	0	0	3	0	18	0	0	5	0	0	0	718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	869	0	1	0	209	0	1	0	0	652	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	1222	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00130	2001	1199	352	2555	2426	1799	3650	4686	1124	1613	1529	1690	3115	2940	2883	19626	34546	29211	18666	29752	2336	3918	3083	2570	3900	4583	4487	5680	6693	14359	9232	10293	13092	12373	11430	6689	3065	3453	11639	10649	41180	14695	7028	4294	11889	8531	9337	11203	8008	8910	9417	6625	11339	15109	9357	7319	10243	17974	11947	30138	10727	16942	6767	8925	16191	17735	19866	23184	50002	55890	47054	47604	49320	50185	57235	39714	5512	10603	5010	4762	13040	12295	15052	10163	14105	23047	19955	19054	6601	23080	26668	14020	14175	48931	42373	50009	33529	201	14049	47191	5155	7343	19341	7425	7707	22370	10047	6318	8897	14123	6656	6523	27552	60448	5570	3831	14769	18752	6167	4561	11975	14843	23116	62230	18803	32623	7817	5618	32633	28646	25689	34712	47995	35620	21423	54191	38733	40537	47184	47790	20449	59968	38722	56715	45697	44476	26230	20224	49717	53036	43976	44487	20489	33275	33969	19147	37340	35756	40021	39152	43846	55651	31682	19375	15327	8903	7080	26433	35496	7098	6704	5043	12189	6662	18299	8694	8486	11415	7944	3424	9353	4585	6447	10340	3531	5969	7914	9158	14956	15286	5132	11315	42921	10058	17307	18582	21438	13875	21921	44078	51211	32841	23730	48284	14096	14941	1778	3234	6705	1454	2121	1393	1173	438	1811	1011	804	3874	5892
ERCC-00131	0	0	0	0	0	0	164	1	13	68	51	82	0	0	0	620	989	836	470	1109	0	0	48	27	191	213	232	228	341	356	329	166	0	4	335	31	1	3	67	3	1725	5	3	193	345	339	311	311	470	289	429	1	1	384	425	250	743	12	0	962	621	798	0	646	729	587	0	1086	1274	1589	1414	1313	1550	1707	2217	1382	606	2	0	0	0	0	0	0	413	729	281	967	325	475	1870	316	972	1892	916	1777	571	1	6	3	436	203	468	280	349	0	485	523	596	518	359	0	911	1479	386	4	446	570	438	281	103	341	1037	1481	808	1547	273	4	7	2	645	1934	2067	1365	571	2290	1171	917	1403	1432	331	1586	5	2117	716	680	1238	569	2417	1688	2120	14	1315	1425	709	1953	1311	2059	953	17	1431	2692	979	0	138	4	0	1	1147	1	3	354	670	192	1087	532	54	0	0	0	0	9	0	0	0	0	738	979	0	2	642	0	1587	8	2003	661	3	791	11	3151	2535	697	12	1559	105	0	0	1	0	0	0	0	340	0	0	1	11	0	0
ERCC-00134	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	2	0	0	119	0	0	484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00136	359	587	92	727	538	445	858	1073	323	284	462	464	1257	883	862	3744	5939	5680	3860	6406	576	1011	560	717	1078	1177	1107	1284	2127	2603	2333	2926	3145	3086	2166	1468	494	1113	2457	1980	8527	1755	2004	808	2003	2076	1938	2191	1547	1648	1856	1467	1803	4628	2549	2128	1896	2949	2088	4901	1564	3377	875	2108	2543	2759	3783	5051	9231	9835	7400	9678	8689	7405	10838	7566	1198	1553	1521	1560	11	2024	1960	3980	2456	5131	3668	3481	1232	4144	7187	2388	2619	8500	6838	7081	6873	23	2825	5094	1539	1263	3101	1515	1288	3911	2277	1776	1478	3313	1482	1089	4039	11165	1335	465	2656	3520	1650	1265	2350	2822	3467	8572	3663	5835	1889	1794	6070	5354	4246	10250	5992	8763	3513	9238	7284	6322	7542	8659	2714	12479	6463	9485	5303	8256	5231	3179	8629	11045	7512	8047	3566	8060	6499	5267	8074	8049	7027	5473	6405	7764	4777	4187	3984	2271	2255	4097	8294	2184	2176	1855	2453	1694	2602	1350	2407	2824	1022	1263	1199	975	2414	3343	888	1994	1171	1218	3545	5193	2049	4962	7821	2380	3009	4067	5358	2460	3887	12135	6714	7402	5124	9598	3819	3307	3	1203	35	255	337	2	194	61	1	711	1165	7	16
ERCC-00137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	651	0	0	0	0	0	0	0	0	367	301	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0	0	0	472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	728	0	0	0	0	0	0	0	0	0	0	0	454	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00144	0	2	0	0	0	0	0	0	0	0	8	14	0	0	0	0	66	118	37	217	0	33	0	69	0	0	64	0	0	0	0	0	0	0	0	0	0	0	3	3	1070	1	0	0	0	0	68	0	105	0	96	81	0	0	0	0	0	0	0	0	157	343	0	0	269	250	0	1	230	441	395	207	395	614	363	269	0	1	0	0	3	866	0	1	131	378	2	133	0	369	1	157	2	557	0	697	1	0	4	0	0	1	298	1	0	0	0	0	2	234	98	0	358	0	97	0	120	0	0	0	332	0	0	0	0	0	84	62	484	386	0	0	1237	302	181	0	0	539	0	2	237	0	0	755	0	0	392	2	0	0	0	2	2	0	448	4	604	0	1	2	932	732	0	0	0	0	168	0	0	133	0	61	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	106	0	0	1	1	0	0	0	0	3	3	1	1	1	1	1363	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
ERCC-00145	181	336	4	477	397	233	634	692	121	179	163	268	462	443	210	2532	2466	2339	1601	2549	269	394	0	355	619	655	771	974	1298	1382	514	1435	2291	1900	1502	1381	513	521	1491	497	186	1286	192	67	1358	1239	1353	1378	906	1188	995	955	1608	890	948	731	618	1600	1553	2645	1528	1835	2278	1060	1975	1221	6	2491	4885	5146	4220	5432	4691	5753	5915	3776	1249	1456	1739	1411	1862	2496	99	6612	1419	2837	2618	1721	589	2408	2381	1329	1949	5207	2072	2240	3608	5	500	3557	776	847	2130	945	210	2237	1547	387	817	1345	976	913	1817	2598	391	314	1211	2190	561	770	1910	2086	4511	7296	2163	3874	1145	556	2178	2272	1885	2733	4777	2564	1546	4476	5630	2557	3230	5960	1670	4803	3529	4347	2794	3497	3406	1878	4667	4424	4465	4579	2809	3765	3455	1644	3960	3678	6814	5394	3546	5459	3010	4069	3094	2005	1205	3285	6580	1138	958	438	527	828	1898	1974	1578	3177	132	997	1668	813	41	3936	738	787	47	2021	3942	3479	450	2108	3643	1405	3148	2231	3497	1877	3975	7776	9499	4559	2444	6215	2309	2192	9	56	790	2	12	1	42	474	5	2692	66	10	10
ERCC-00147	0	0	0	0	0	0	0	0	0	0	0	1	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	1	1	0	1691	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
