	stage	replicate	quality	ID	safeID	input	genesDetected	embryoGenesDetected	pgExpected	embryoPgExpected
st396	8-cell	4	Use	ABal	ABal	26.1008822103789	4053	6664	0.825288838029517	4.21763565711636
st397	8-cell	4	Use	C	C	14.4007803965091	3989	6664	0.460649263235892	4.21763565711636
st398	8-cell	4	Use	E	E	12.0825908123692	3671	6664	0.385267118114977	4.21763565711636
st399	8-cell	4	Use	MS	MS	5.13937963308	2161	6664	0.159106228666688	4.21763565711636
st400	8-cell	4	Use	P3	P3	8.369846831016	3431	6664	0.267794779832206	4.21763565711636
st417	8-cell	5	Toss	tossed	NA	0.0693604189512777	1833	5821	0.00188538267736925	0.150966098621997
st418	8-cell	5	Toss	tossed	NA	0.019971001744252	1119	5821	0.000444914311565445	0.150966098621997
st419	8-cell	5	Toss	tossed	NA	1.20247286818095	3132	5821	0.0378125319215706	0.150966098621997
st420	8-cell	5	Toss	tossed	NA	0.540653650192084	2976	5821	0.0167002116037246	0.150966098621997
st421	8-cell	5	Toss	tossed	NA	1.337684850385	3106	5821	0.0416455642520234	0.150966098621997
st422	8-cell	5	Toss	tossed	NA	1.03370709484332	2709	5821	0.0324616446633469	0.150966098621997
st423	8-cell	5	Toss	tossed	NA	0.121772635873322	1864	5821	0.00361377792810013	0.150966098621997
st424	8-cell	5	Toss	tossed	NA	0.515374252207595	2969	5821	0.0164020712642969	0.150966098621997
st481	8-cell	6	Use	ABpr	ABpr	29.2010206425	3514	6218	0.943876244778266	5.51122738470408
st482	8-cell	6	Use	ABar	ABar	13.392099420929	2941	6218	0.408770964651893	5.51122738470408
st483	8-cell	6	Use	ABpl	ABpl	46.721633028	3576	6218	1.5649704530074	5.51122738470408
st484	8-cell	6	Use	ABal	ABal	41.0482918746	3570	6218	1.3262089671297	5.51122738470408
st485	8-cell	6	Use	MS	MS	10.1389122013143	2505	6218	0.315737486721222	5.51122738470408
st486	8-cell	6	Use	E	E	11.8033599228632	2215	6218	0.362932366683853	5.51122738470408
st487	8-cell	6	Use	C	C	11.0219759768757	2955	6218	0.340820148275245	5.51122738470408
st488	8-cell	6	Use	P3	P3	8.13655650011429	2370	6218	0.2479107534565	5.51122738470408
st249	16-cell	1	Use	ABplx	ABplx	17.7910454830759	3471	7681	0.543445798558866	3.42688270893842
st250	16-cell	1	Use	ABprx	ABprx	6.7788083634375	3103	7681	0.203240260644328	3.42688270893842
st251	16-cell	1	Use	ABprx	ABprx	9.28014853825385	2888	7681	0.282995940076847	3.42688270893842
st252	16-cell	1	Use	ABplx	ABplx	9.942252266375	3014	7681	0.299192980816949	3.42688270893842
st253	16-cell	1	Use	ABarx	ABarx	10.2024790489714	2688	7681	0.315109990960451	3.42688270893842
st254	16-cell	1	Use	ABarx	ABarx	5.47652841353846	2815	7681	0.165604586401813	3.42688270893842
st255	16-cell	1	Use	ABalx	ABalx	2.033503456552	1499	7681	0.0597918664104061	3.42688270893842
st256	16-cell	1	Use	ABalx	ABalx	9.42134028641538	2826	7681	0.28615879173108	3.42688270893842
st257	16-cell	1	Use	MSx1	MSx	14.7411519716914	2971	7681	0.459127216589579	3.42688270893842
st258	16-cell	1	Use	MSx2	MSx	1.23040375578788	1926	7681	0.0363680326120285	3.42688270893842
st259	16-cell	1	Use	Cx2	Cx	2.10362426539862	2114	7681	0.063855906521926	3.42688270893842
st260	16-cell	1	Use	Ea	Ex	0.724198823106073	1588	7681	0.0211294537852072	3.42688270893842
st261	16-cell	1	Use	Ep	Ex	2.92906577778843	2337	7681	0.0878108625796787	3.42688270893842
st262	16-cell	1	Use	Cx1	Cx	2.31918413493418	1346	7681	0.0674315680261115	3.42688270893842
st263	16-cell	1	Use	P4	P4	15.4495484004353	2738	7681	0.502466840969273	3.42688270893842
st264	16-cell	1	Use	D	D	1.06099665299434	1596	7681	0.0331526122538805	3.42688270893842
st313	16-cell	2	Use	ABprx	ABprx	26.1259743870857	3377	7799	0.799280945128936	8.29424589817429
st314	16-cell	2	Use	ABalx	ABalx	21.44189230035	3439	7799	0.658105721559044	8.29424589817429
st315	16-cell	2	Toss	tossed	NA	4.30747308917938	1094	7799	0.129986827621798	8.29424589817429
st316	16-cell	2	Use	ABarx	ABarx	25.2360385198857	3183	7799	0.787687014243539	8.29424589817429
st317	16-cell	2	Use	ABplx	ABplx	23.2157182747826	2509	7799	0.703868982948826	8.29424589817429
st318	16-cell	2	Use	ABprx	ABprx	5.29194006745714	2516	7799	0.159490590867374	8.29424589817429
st319	16-cell	2	Use	ABalx	ABalx	13.3851164891027	2509	7799	0.415921560454544	8.29424589817429
st320	16-cell	2	Use	ABarx	ABarx	22.751403909287	2931	7799	0.703928639705468	8.29424589817429
st321	16-cell	2	Use	Cx2	Cx	20.664310836384	3076	7799	0.643330497972081	8.29424589817429
st322	16-cell	2	Use	Cx1	Cx	14.9587749442588	2825	7799	0.472037159946335	8.29424589817429
st323	16-cell	2	Use	MSx1	MSx	25.3631722152	2966	7799	0.808033323784959	8.29424589817429
st324	16-cell	2	Use	MSx2	MSx	29.9240935346	2786	7799	0.938968620334818	8.29424589817429
st325	16-cell	2	Use	Ep	Ex	6.11664875888955	2825	7799	0.184976875775258	8.29424589817429
st327	16-cell	2	Use	D	D	1.13096016456667	953	7799	0.0357446454981104	8.29424589817429
st328	16-cell	2	Use	P4	P4	25.7445733011429	3071	7799	0.852884492333203	8.29424589817429
st345	16-cell	3	Use	ABalx	ABalx	37.7110323726	3247	7834	1.15733037495295	6.23463857199131
st346	16-cell	3	Use	ABarx	ABarx	11.4102491544571	2928	7834	0.344296645066238	6.23463857199131
st347	16-cell	3	Use	ABplx	ABplx	6.22200924101695	2709	7834	0.181516550863291	6.23463857199131
st348	16-cell	3	Use	ABarx	ABarx	25.1963092401	3255	7834	0.785718939041406	6.23463857199131
st349	16-cell	3	Use	ABplx	ABplx	37.7110323726	3274	7834	1.14544355711724	6.23463857199131
st350	16-cell	3	Use	ABprx	ABprx	14.2149215544649	2542	7834	0.440466243645544	6.23463857199131
st351	16-cell	3	Use	ABalx	ABalx	7.58670326788	2666	7834	0.228569963839273	6.23463857199131
st352	16-cell	3	Use	ABprx	ABprx	8.6768747052	2314	7834	0.26771365092743	6.23463857199131
st353	16-cell	3	Use	MSx2	MSx	0.563400463455513	996	7834	0.0153907033193822	6.23463857199131
st354	16-cell	3	Use	MSx2	MSx	8.98492942846154	2625	7834	0.267165950647321	6.23463857199131
st355	16-cell	3	Use	Ep	Ex	4.0115923498268	2127	7834	0.121415911541462	6.23463857199131
st356	16-cell	3	Use	Ea	Ex	14.4058368503	2839	7834	0.451799607991919	6.23463857199131
st357	16-cell	3	Use	Cx1	Cx	10.9017143732	2777	7834	0.335984566323249	6.23463857199131
st358	16-cell	3	Use	Cx2	Cx	6.88640849619048	2237	7834	0.21149412281085	6.23463857199131
st359	16-cell	3	Use	D	D	3.57086766714	2567	7834	0.108573929418676	6.23463857199131
st360	16-cell	3	Use	P4	P4	5.414703541995	2737	7834	0.17175785448508	6.23463857199131
st377	16-cell	4	Toss	tossed	NA	0.944870179990124	812	6131	0.0300825671124798	1.00701304704274
st378	16-cell	4	Toss	tossed	NA	0.0697619217932203	808	6131	0.00206249821424347	1.00701304704274
st379	16-cell	4	Toss	tossed	NA	2.58807879746939	2114	6131	0.0777665251541635	1.00701304704274
st380	16-cell	4	Toss	tossed	NA	8.88699845162222	2907	6131	0.271320397427755	1.00701304704274
st381	16-cell	4	Toss	tossed	NA	0.274833135458824	1047	6131	0.00759652514034529	1.00701304704274
st382	16-cell	4	Toss	tossed	NA	2.07302707888941	1665	6131	0.0628111670855663	1.00701304704274
st383	16-cell	4	Toss	tossed	NA	1.20748116526909	1548	6131	0.0360866167369635	1.00701304704274
st385	16-cell	4	Toss	tossed	NA	1.92736110564944	1900	6131	0.0595096697365236	1.00701304704274
st386	16-cell	4	Toss	tossed	NA	0.896961676677895	1294	6131	0.0271918950156473	1.00701304704274
st387	16-cell	4	Toss	tossed	NA	7.18492339842353	2039	6131	0.218439796829265	1.00701304704274
st388	16-cell	4	Toss	tossed	NA	0.0988316201403651	705	6131	0.00303375910816875	1.00701304704274
st389	16-cell	4	Toss	tossed	NA	1.68975164658228	1753	6131	0.0510202198491534	1.00701304704274
st390	16-cell	4	Toss	tossed	NA	0.38436023229931	1203	6131	0.0113784116074421	1.00701304704274
st391	16-cell	4	Toss	tossed	NA	1.94035197274754	1897	6131	0.0584584915651341	1.00701304704274
st392	16-cell	4	Toss	tossed	NA	2.98128515512	2120	6131	0.090254506459889	1.00701304704274
st425	16-cell	5	Toss	tossed	NA	5.34806396143291	2795	6763	0.160841890462374	1.14194543744744
st426	16-cell	5	Toss	tossed	NA	4.54157488750435	2494	6763	0.138877178875106	1.14194543744744
st427	16-cell	5	Toss	tossed	NA	1.23955352931429	1800	6763	0.0371952764817817	1.14194543744744
st428	16-cell	5	Toss	tossed	NA	0.741613222666667	915	6763	0.0218454824237489	1.14194543744744
st429	16-cell	5	Toss	tossed	NA	1.57459647221436	1779	6763	0.0472058051525116	1.14194543744744
st430	16-cell	5	Toss	tossed	NA	0.321904595015804	635	6763	0.00907624236697154	1.14194543744744
st431	16-cell	5	Toss	tossed	NA	6.0070671036	2263	6763	0.184858831172989	1.14194543744744
st432	16-cell	5	Toss	tossed	NA	1.32287764043243	1416	6763	0.0402011880926011	1.14194543744744
st433	16-cell	5	Toss	tossed	NA	2.53171410496552	2028	6763	0.0764811153622343	1.14194543744744
st434	16-cell	5	Toss	tossed	NA	5.357413920544	1849	6763	0.161855502230524	1.14194543744744
st435	16-cell	5	Toss	tossed	NA	2.26013022825103	2001	6763	0.0684261268960228	1.14194543744744
