QUALIFIER	NR_NC filter	qt_cluster 200	PC-6	3C	PC32	0	23	41	53	66
192382_s_at	1	NC	23	16	11	16	7	6	6	6
192381_at	1	1	56	32	41	36	32	18	19	14
192380_at	1	NC	6	5	5	4	6	4	6	5
192379_at	1	NC	5	4	4	4	5	4	5	5
192378_at	1	10	80	76	77	45	61	51	32	38
192377_at	1	3	15	22	20	23	39	38	41	24
192376_at	1	NC	6	5	4	4	5	4	6	5
192375_at	1	NC	6	5	5	6	7	6	7	7
192374_s_at	1	4	14	10	13	15	12	9	11	10
192373_at	1	NC	5	4	5	4	5	4	5	5
192372_at	1	NC	7	6	6	5	6	6	11	10
192371_s_at	1	NC	138	158	138	137	165	160	126	152
192370_at	1	NC	71	70	67	82	71	100	90	102
192369_s_at	1	NC	12	11	15	9	28	17	31	16
192368_s_at	1	1	237	174	192	318	215	120	169	130
192367_at	1	NC	17	21	23	21	28	20	37	31
192366_at	1	NC	8	5	5	4	6	5	6	6
192365_s_at	1	NC	5	4	4	4	5	4	5	5
192364_s_at	1	5	69	74	87	54	117	108	266	267
192363_at	1	NC	5	4	5	5	5	4	6	6
192362_at	1	NC	7	6	6	6	6	6	7	6
192361_s_at	1	1	137	144	116	109	90	80	41	54
192360_at	1	NC	7	6	5	5	6	5	7	8
192359_s_at	1	NC	5	6	5	5	6	5	5	6
192358_at	1	NC	5	5	4	4	5	4	5	5
192357_at	1	NC	5	5	5	4	5	4	6	6
192356_s_at	1	2	10	8	12	10	18	11	23	19
192355_s_at	1	NC	169	134	184	77	164	147	198	153
192354_at	1	NC	5	5	5	4	5	5	5	5
192353_at	1	NC	5	4	4	4	5	4	5	6
192352_at	1	3	54	59	53	57	74	77	44	45
192351_s_at	1	1	487	408	420	689	329	259	151	158
192350_at	1	NC	5	4	4	4	5	4	5	5
192349_at	1	NC	5	5	4	4	5	4	5	5
192348_s_at	1	NC	60	56	66	77	76	55	41	43
192347_s_at	1	3	51	66	62	77	89	90	50	39
192346_s_at	1	1	38	39	46	35	43	34	11	13
192345_s_at	1	NC	5	5	4	4	5	4	5	5
192344_at	1	NC	5	5	4	4	5	4	5	5
192343_s_at	0	NC	13	12	16	6	12	13	18	19
192342_at	1	NC	5	5	4	4	5	4	5	5
192341_s_at	1	NC	7	6	4	5	5	5	5	6
192340_at	1	NC	5	5	4	4	5	4	5	5
192339_at	1	NC	5	5	5	4	5	4	6	5
192338_at	1	NC	5	4	4	4	5	4	5	5
192337_at	1	NC	8	7	7	6	10	6	11	12
192336_at	1	NC	6	6	5	4	5	5	6	5
192335_at	1	1	317	260	395	210	338	119	70	43
192334_s_at	1	NC	5	4	4	4	5	4	5	5
192333_at	1	NC	6	5	5	5	7	5	6	6
192332_s_at	1	21	15	17	14	20	11	11	8	8
192331_at	1	NC	5	5	5	4	5	4	5	5
192330_at	1	3	77	89	86	86	124	130	127	134
192329_at	1	NC	5	4	5	4	5	4	5	5
192328_at	1	NC	6	5	5	4	6	5	6	6
192327_at	1	NC	7	6	5	5	6	6	7	6
192326_at	1	NC	37	27	35	32	39	35	49	42
192325_s_at	1	NC	6	5	4	4	5	5	5	5
192324_at	1	NC	7	5	5	4	6	5	6	7
192323_at	1	NC	5	4	4	4	5	4	5	5
192322_s_at	1	NC	5	6	5	5	6	5	6	6
192321_s_at	1	NC	16	7	16	11	12	6	8	6
192320_s_at	1	NC	35	21	37	30	53	30	27	17
192319_at	1	NC	5	4	4	4	5	4	5	5
192318_at	1	NC	5	5	4	4	5	4	5	5
192317_at	1	4	5	6	5	5	6	5	6	6
192316_at	1	NC	5	4	5	4	5	5	5	5
192315_at	1	NC	5	4	4	4	5	4	5	5
192314_s_at	1	NC	5	4	5	4	5	4	6	5
192313_s_at	1	NC	18	12	14	25	12	11	11	8
192312_s_at	1	NC	6	5	5	6	8	7	8	9
192311_at	1	NC	6	6	5	9	6	6	5	6
192310_s_at	1	NC	258	273	277	595	390	610	568	640
192309_at	1	NC	5	4	4	4	5	4	5	5
192308_s_at	1	NC	5	4	6	4	6	5	6	5
192307_at	1	16	6	6	4	5	6	5	8	7
192306_s_at	0	NC	5	4	4	4	5	4	5	5
192305_s_at	1	NC	5	5	4	4	5	4	5	5
192304_s_at	0	NC	13	15	13	12	18	13	11	10
192303_s_at	0	NC	127	78	168	89	207	135	332	232
192302_at	1	NC	6	5	5	4	5	5	5	5
192301_at	1	3	40	23	39	31	65	59	56	47
192300_at	1	NC	5	5	4	4	5	4	5	5
192299_s_at	0	NC	5	4	4	4	5	4	5	5
192298_at	1	NC	5	5	4	4	5	4	5	5
192297_s_at	1	1	220	196	171	157	75	84	33	38
192296_at	1	5	6	6	5	4	6	5	24	27
192295_at	1	NC	5	5	4	4	6	5	6	5
192294_s_at	1	2	11	12	8	14	13	18	27	42
192293_at	1	NC	5	5	5	4	5	4	6	5
192292_s_at	0	NC	5	4	5	4	5	5	5	6
192291_at	1	NC	5	5	4	4	5	4	5	5
192290_s_at	0	NC	5	6	4	4	6	5	6	6
192289_at	1	NC	5	4	4	4	5	4	5	5
192288_at	1	NC	6	5	6	5	5	5	6	6
192287_at	1	NC	57	35	38	34	36	20	37	29
192286_s_at	1	NC	30	27	28	35	40	25	37	28
192285_at	1	NC	25	24	19	37	21	37	27	27
192284_at	1	NC	6	5	5	5	7	6	7	5
192283_s_at	1	NC	5	4	5	4	5	5	5	5
192282_at	1	NC	5	4	4	4	5	4	5	5
192281_at	1	NC	7	7	7	6	7	6	6	6
192280_s_at	0	NC	7	6	7	5	7	5	9	8
192279_at	1	NC	5	5	5	4	5	5	6	5
192278_s_at	1	NC	7	5	6	5	6	5	5	5
192277_at	1	2	7	7	5	9	7	6	10	14
192276_at	1	NC	534	475	583	370	437	388	510	377
192275_s_at	1	NC	6	6	6	5	6	6	6	6
192274_at	1	NC	5	5	4	4	5	4	5	5
192273_at	1	NC	5	5	5	4	5	5	6	6
192272_at	1	NC	6	5	5	5	7	5	6	6
192271_s_at	1	NC	14	15	17	19	16	12	16	14
192270_at	1	NC	5	5	5	4	5	4	5	5
192269_s_at	1	NC	416	360	464	357	453	239	428	253
192268_at	1	NC	5	4	5	4	5	4	5	5
192267_at	1	18	94	128	100	75	47	33	31	35
192266_s_at	0	NC	5	5	5	5	6	5	7	5
192265_at	1	NC	6	5	5	4	6	4	6	5
192264_at	0	NC	5	6	4	4	5	4	6	5
192263_s_at	1	NC	21	16	14	13	15	17	13	14
192262_at	1	NC	265	156	227	124	266	147	327	234
192261_s_at	1	NC	21	27	22	19	18	24	17	21
192260_at	1	1	30	27	27	40	24	14	10	10
192259_s_at	1	2	73	46	89	48	130	84	235	175
192258_s_at	1	NC	6	6	6	4	6	5	7	6
192257_s_at	1	3	299	447	275	465	226	470	231	362
192256_at	1	NC	5	4	5	4	5	4	5	6
192255_at	1	NC	7	6	6	5	7	8	7	7
192254_at	1	NC	5	5	5	4	5	5	5	5
192253_s_at	1	NC	6	5	5	4	6	4	6	5
192252_at	1	NC	5	4	4	4	5	4	5	5
192251_at	1	NC	58	43	47	40	56	52	36	32
192250_at	1	NC	5	6	4	4	5	4	5	5
192249_at	1	NC	6	5	5	6	6	5	6	6
192248_at	1	NC	7	5	6	6	6	6	8	6
192247_at	1	NC	5	4	4	4	5	4	5	5
192246_s_at	1	NC	9	8	10	13	16	12	22	15
192245_s_at	1	2	10	11	10	9	17	17	29	30
192244_s_at	1	NC	10	8	7	13	13	8	7	6
192243_at	1	22	262	236	326	332	390	278	367	310
192242_at	1	4	7	6	6	5	6	5	7	7
192241_at	1	3	152	160	162	168	204	220	192	172
192240_s_at	0	NC	15	9	8	44	14	14	10	10
192239_at	1	NC	5	4	5	4	5	5	6	6
192238_s_at	1	NC	6	5	5	4	6	5	6	5
192237_s_at	1	NC	5	6	4	4	5	5	6	6
192236_at	1	1	57	53	70	47	64	28	32	25
192235_at	1	NC	5	5	6	4	7	6	9	7
192234_s_at	1	3	754	478	921	475	963	657	858	587
192233_at	1	NC	8	9	7	7	7	5	7	8
192232_at	1	NC	5	5	5	4	5	4	5	5
192231_at	1	NC	6	6	6	5	6	5	6	6
192230_at	1	NC	6	5	5	5	6	4	6	6
192229_s_at	1	14	64	73	68	78	130	102	165	122
192228_at	1	NC	14	12	25	8	20	11	27	18
192227_s_at	1	2	23	19	18	28	18	13	14	16
192226_s_at	1	NC	92	60	59	86	58	43	46	41
192225_at	1	NC	19	14	17	13	18	16	15	16
192224_s_at	1	24	174	183	191	184	227	237	78	88
192223_at	1	NC	6	4	5	4	6	6	7	7
192222_at	1	NC	6	5	5	4	5	4	5	6
192221_at	1	NC	5	6	5	4	6	6	7	7
192220_at	1	NC	73	66	69	110	67	75	60	56
192219_at	1	NC	5	6	4	4	6	5	5	6
192218_at	1	NC	9	6	7	8	8	7	9	7
192217_s_at	1	1	83	62	115	69	116	59	52	41
192216_at	1	NC	5	5	4	4	5	5	6	5
192215_s_at	1	NC	5	4	4	4	5	4	5	5
192214_s_at	1	NC	6	5	5	7	7	5	6	6
192213_s_at	1	NC	6	6	5	4	5	4	6	6
192212_at	1	NC	5	4	5	4	5	5	5	5
192211_at	1	NC	5	6	4	4	5	4	5	5
192210_at	1	NC	11	5	7	10	11	8	14	11
192209_at	1	NC	5	5	4	4	5	4	6	6
192208_s_at	1	NC	6	5	5	4	5	4	5	5
192207_at	1	NC	9	6	6	4	7	6	6	7
192206_at	1	NC	6	4	5	4	6	5	6	5
192205_s_at	1	2	7	8	6	5	11	24	44	55
192204_s_at	1	NC	43	22	52	29	70	39	88	58
192203_s_at	1	3	90	146	97	121	86	106	68	71
192202_s_at	1	25	119	82	149	100	148	127	123	79
192201_at	1	39	502	606	538	730	361	637	420	524
192200_at	1	1	144	112	88	90	56	26	17	13
192199_at	1	NC	6	5	4	4	6	5	6	6
192198_s_at	1	NC	6	5	5	4	5	4	5	5
192197_at	1	NC	5	5	5	4	5	5	5	5
192196_at	1	NC	5	4	4	4	5	5	5	5
192195_at	1	NC	6	5	5	4	6	5	6	5
192194_s_at	1	NC	5	5	5	4	5	4	5	5
192193_at	1	NC	6	7	8	4	7	7	8	7
192192_at	1	NC	6	6	5	4	6	5	6	6
192191_s_at	0	NC	77	57	70	120	93	80	119	90
192190_at	1	NC	5	6	6	4	6	4	6	5
192189_at	1	16	6	7	7	5	8	8	15	11
192188_s_at	1	NC	5	4	4	4	5	4	5	5
192187_s_at	1	NC	22	19	28	18	23	21	26	18
192186_at	1	NC	6	5	4	4	6	5	6	6
192185_at	1	NC	5	5	4	4	6	5	6	5
192184_at	1	NC	5	5	4	4	5	4	5	5
192183_s_at	1	5	196	235	191	252	199	235	304	416
192182_at	1	NC	5	5	5	4	5	4	5	5
192181_at	1	4	6	6	5	4	5	4	5	5
192180_s_at	1	3	168	126	169	199	207	209	229	219
192179_s_at	1	9	7	6	11	6	44	72	107	93
192178_s_at	1	1	40	30	42	35	41	30	11	13
192177_s_at	1	1	150	142	161	152	123	66	29	28
192176_s_at	1	NC	7	7	7	7	7	6	8	8
192175_at	1	NC	5	5	4	4	5	4	5	5
192174_at	1	NC	7	5	5	5	6	5	6	6
192173_s_at	1	NC	6	6	5	4	5	5	6	5
192172_s_at	1	8	7	9	17	16	77	299	512	782
192171_at	0	NC	6	6	6	5	14	31	106	93
192170_s_at	1	NC	20	19	26	15	37	19	29	23
192169_s_at	1	NC	217	134	275	225	232	181	265	238
192168_at	1	NC	11	8	12	8	12	7	7	6
192167_at	1	2	77	91	97	82	133	181	238	258
192166_s_at	1	NC	5	4	4	4	5	4	5	5
192165_s_at	0	NC	5	5	4	4	5	4	5	5
192164_at	1	NC	5	5	5	4	6	4	5	6
192163_at	1	NC	6	5	4	4	5	5	6	5
192162_at	1	NC	10	12	11	7	16	9	15	8
192161_s_at	1	2	11	7	12	11	17	15	27	29
192160_s_at	1	NC	7	5	6	5	6	5	7	6
192159_at	1	NC	9	11	9	8	17	13	15	11
192158_at	1	NC	26	18	25	22	37	31	54	31
192157_at	1	2	6	4	4	4	6	9	15	16
192156_at	1	NC	141	100	163	143	178	156	264	225
192155_s_at	1	4	59	44	85	41	61	56	116	74
192154_s_at	1	NC	5	5	4	4	5	4	5	6
192153_at	1	5	7	7	5	6	6	7	29	36
192152_s_at	1	NC	89	66	115	69	139	126	146	105
192151_at	1	NC	7	7	6	5	7	7	8	7
192150_at	1	3	82	101	95	139	105	165	95	143
192149_s_at	1	NC	5	5	5	4	5	4	5	5
192148_at	1	NC	6	5	4	4	5	4	5	5
192147_s_at	1	NC	59	45	48	57	46	39	46	37
192146_s_at	1	NC	5	5	5	4	5	5	5	5
192145_s_at	1	4	23	20	13	51	21	16	26	26
192144_s_at	1	NC	5	5	5	4	6	4	5	6
192143_s_at	1	NC	11	8	7	11	11	7	8	10
192142_at	1	NC	5	4	4	4	5	4	5	5
192141_at	1	1	52	58	49	65	44	32	18	20
192140_at	1	4	6	5	5	5	6	5	6	6
192139_s_at	1	NC	6	5	5	4	5	5	5	6
192138_at	1	NC	5	4	4	4	5	4	5	5
192137_at	1	12	8	8	7	6	8	7	10	8
192136_at	1	NC	5	4	5	4	6	4	6	5
192135_at	1	4	7	10	7	9	8	8	7	9
192134_at	1	NC	5	4	5	4	5	4	5	5
192133_s_at	1	4	5	5	5	5	6	5	6	7
192132_at	1	NC	27	18	28	18	28	15	19	13
192131_s_at	1	NC	51	59	51	63	47	51	31	36
192130_at	1	NC	19	21	12	15	9	8	6	7
192129_at	1	NC	131	99	171	157	173	168	292	262
192128_s_at	1	NC	5	6	5	4	5	4	5	5
192127_s_at	1	NC	6	5	5	5	6	4	6	6
192126_s_at	1	NC	5	5	4	4	5	4	5	5
192125_s_at	1	3	349	328	390	339	319	305	310	309
192124_at	1	NC	33	26	29	24	26	21	13	13
192123_at	1	NC	21	17	30	30	32	24	32	25
192122_s_at	1	NC	6	8	6	5	6	5	7	7
192121_at	1	NC	5	4	4	4	5	4	5	5
192120_s_at	1	NC	6	6	6	4	5	5	6	6
192119_s_at	1	NC	340	273	396	269	441	380	607	486
192118_s_at	1	NC	5	5	4	4	6	4	6	5
192117_at	1	NC	6	5	5	4	5	4	6	5
192116_s_at	1	NC	5	4	4	4	5	5	5	6
192115_at	1	NC	13	8	6	8	6	5	6	7
192114_s_at	0	NC	8	8	7	5	14	17	14	18
192113_s_at	1	16	37	35	33	33	71	39	54	50
192112_s_at	1	NC	5	5	4	4	6	4	6	5
192111_at	1	1	122	106	99	109	79	78	25	29
192110_at	1	NC	7	6	6	6	6	5	7	7
192109_s_at	1	NC	80	67	85	71	102	81	80	61
192108_at	1	NC	6	5	6	4	7	5	7	6
192107_s_at	1	NC	19	12	14	13	15	10	16	10
192106_at	1	NC	8	7	6	5	6	6	7	6
192105_at	1	NC	5	5	4	4	5	4	5	5
192104_at	1	2	7	8	7	6	7	6	53	70
192103_s_at	1	1	373	300	334	425	237	188	119	128
192102_s_at	1	NC	5	5	4	4	5	4	5	5
192101_at	1	NC	22	20	23	30	45	44	59	52
192100_at	1	5	12	8	11	11	19	22	38	29
192099_s_at	1	NC	5	5	5	4	5	5	6	6
192098_at	1	NC	12	13	10	19	9	9	7	9
192097_s_at	0	NC	33	58	35	45	46	79	102	148
192096_at	1	NC	13	22	25	31	31	20	34	33
192095_at	1	NC	5	4	5	5	5	4	6	5
192094_at	1	NC	6	5	5	4	6	5	6	6
192093_s_at	1	NC	5	5	5	4	5	4	6	6
192092_at	1	2	15	11	14	5	26	12	77	46
192091_at	1	NC	5	5	4	4	5	4	5	5
192090_at	1	NC	6	5	4	4	5	4	5	5
192089_s_at	1	NC	5	4	4	4	5	4	5	5
192088_s_at	1	NC	22	37	18	41	32	29	22	22
192087_at	1	NC	28	24	33	31	53	51	63	55
192086_s_at	1	NC	6	5	5	4	6	5	5	6
192085_at	1	10	14	13	15	34	38	27	16	13
192084_s_at	1	NC	8	8	7	6	9	7	9	6
192083_at	0	NC	6	5	5	4	6	5	5	6
192082_at	1	NC	5	5	4	4	5	4	5	5
192081_s_at	1	10	27	24	30	27	48	25	18	11
192080_at	1	NC	7	4	5	4	6	5	6	5
192079_s_at	1	1	1025	729	1288	1026	1123	471	330	130
192078_at	1	1	98	68	86	73	71	30	31	17
192077_at	1	NC	18	11	7	8	7	5	7	8
192076_at	1	NC	5	5	4	4	5	4	5	5
192075_at	1	NC	6	6	5	4	5	4	6	5
192074_at	1	NC	5	5	5	4	6	5	6	5
192073_s_at	1	NC	6	5	5	5	7	6	7	6
192072_s_at	1	3	108	69	124	49	115	72	97	69
192071_at	1	2	20	9	23	11	25	18	33	23
192070_at	1	NC	20	16	7	13	8	7	7	7
192069_s_at	1	NC	92	58	117	51	122	73	113	77
192068_s_at	1	NC	94	77	85	89	106	94	139	125
192067_at	1	NC	18	28	19	15	15	15	8	8
192066_at	1	NC	5	4	4	4	5	4	6	5
192065_at	1	NC	9	9	11	9	9	7	9	7
192064_s_at	1	NC	6	7	6	7	7	7	6	7
192063_s_at	1	5	6	5	5	10	9	13	16	14
192062_at	1	NC	6	5	6	5	10	6	8	7
192061_at	1	NC	5	6	5	6	6	6	6	6
192060_at	1	27	10	11	13	12	40	28	59	29
192059_at	1	NC	5	4	4	4	5	4	5	5
192058_at	1	NC	5	5	5	4	6	5	6	5
192057_at	1	NC	6	7	7	6	11	8	8	7
192056_at	1	NC	56	33	56	42	46	37	42	37
192055_at	1	NC	5	5	5	4	6	5	6	6
192054_at	1	NC	6	6	5	5	6	6	6	6
192053_at	1	NC	7	6	7	5	7	5	7	5
192052_at	1	5	183	138	232	137	253	229	401	360
192051_at	1	NC	9	10	9	6	8	7	8	8
192050_at	1	NC	7	6	5	5	6	6	6	7
192049_at	1	NC	187	192	243	242	259	224	340	320
192048_at	1	NC	5	5	4	4	5	4	5	5
192047_at	1	NC	5	5	5	4	5	4	6	6
192046_at	1	NC	7	6	6	5	6	6	7	7
192045_s_at	1	2	8	10	7	9	13	17	27	27
192044_at	1	NC	42	73	26	65	21	39	25	29
192043_s_at	1	27	96	77	121	60	179	103	294	129
192042_s_at	1	NC	27	26	28	21	33	29	27	25
192041_s_at	1	NC	54	84	57	124	85	92	81	112
192040_s_at	1	NC	6	6	5	5	6	6	7	6
192039_s_at	1	1	49	57	55	123	95	62	47	32
192038_at	1	NC	16	18	18	17	16	20	8	7
192037_at	1	NC	7	4	5	4	9	5	5	5
192036_at	1	1	378	258	358	558	390	221	125	69
192035_s_at	0	NC	17	24	22	20	46	34	53	30
192034_s_at	1	2	5	4	4	4	5	4	11	11
192033_s_at	1	NC	5	5	4	4	5	4	5	5
192032_s_at	1	5	162	97	190	108	291	233	578	403
192031_at	1	NC	5	5	5	4	6	4	5	5
192030_at	1	2	7	9	7	7	8	11	16	19
192029_at	1	NC	5	4	4	4	5	4	5	5
192028_at	1	4	153	102	116	84	75	81	82	91
192027_s_at	1	NC	5	4	4	4	5	4	7	6
192026_at	1	NC	5	5	4	4	5	4	5	5
192025_s_at	1	10	122	84	143	78	154	104	81	58
192024_s_at	0	NC	6	4	5	4	6	4	6	6
192023_s_at	1	NC	5	5	4	4	5	4	5	5
192022_at	1	5	24	28	26	28	44	76	146	152
192021_at	1	1	50	29	34	101	29	23	24	15
192020_at	1	NC	5	4	4	4	5	4	6	5
192019_at	1	NC	5	4	5	4	5	4	5	5
192018_at	1	8	145	118	174	94	182	168	276	271
192017_s_at	1	NC	14	13	16	69	22	33	22	26
192016_s_at	1	NC	7	6	5	5	5	5	6	8
192015_s_at	1	40	21	17	15	56	20	22	24	22
192014_s_at	1	15	6	5	5	4	6	5	7	8
192013_s_at	1	2	198	188	211	213	208	282	320	340
192012_s_at	1	NC	5	5	4	4	5	4	5	5
192011_s_at	1	NC	173	133	156	230	215	247	327	341
192010_s_at	1	NC	59	53	49	129	61	74	57	59
192009_at	1	2	7	9	7	5	5	9	12	20
192008_s_at	1	NC	6	6	5	4	6	5	6	5
192007_at	1	21	39	39	37	22	22	20	10	13
192006_s_at	0	NC	7	6	6	6	6	6	6	6
192005_at	0	NC	5	5	5	4	5	4	5	5
192004_at	1	NC	5	5	6	4	6	5	7	6
192003_s_at	1	6	58	45	58	65	51	27	11	15
192002_at	1	1	251	151	252	332	325	155	114	62
192001_at	1	NC	54	39	58	37	64	26	35	35
192000_s_at	1	NC	17	17	19	26	40	33	23	22
191999_s_at	1	NC	9	7	7	6	8	7	7	8
191998_at	1	NC	6	5	5	4	6	5	5	5
191997_s_at	1	NC	58	68	64	70	85	95	110	80
191996_s_at	1	NC	25	18	28	13	28	18	22	17
191995_at	1	NC	5	7	7	4	5	7	6	5
191994_at	1	NC	7	5	5	5	5	5	6	6
191993_at	1	NC	8	6	5	5	7	5	6	6
191992_at	1	NC	6	5	5	4	6	5	6	5
191991_s_at	1	NC	6	5	5	5	6	5	6	5
191990_at	1	NC	5	4	5	4	5	4	5	5
191989_at	1	NC	35	29	42	35	46	29	53	40
191988_s_at	0	NC	5	5	6	4	5	4	5	5
191987_at	1	NC	6	4	5	4	5	4	5	5
191986_at	1	NC	5	4	4	4	5	4	5	5
191985_at	1	NC	6	5	4	4	5	5	6	5
191984_at	1	NC	5	5	5	4	6	5	6	6
191983_s_at	0	NC	5	7	5	5	6	6	8	9
191982_s_at	1	NC	5	6	6	4	6	5	6	5
191981_at	1	NC	5	5	4	4	5	4	6	5
191980_at	1	NC	6	6	5	4	6	4	6	6
191979_at	1	NC	6	5	5	6	6	5	6	5
191978_at	1	NC	5	5	4	4	5	4	5	5
191977_at	1	NC	17	23	14	30	14	17	9	10
191976_at	1	NC	5	5	4	4	6	5	6	7
191975_at	1	4	23	18	23	22	22	21	14	14
191974_at	1	NC	6	6	5	5	6	5	5	6
191973_s_at	1	NC	5	5	5	7	7	5	7	7
191972_at	0	NC	5	5	5	4	6	4	5	5
191971_at	1	NC	6	6	6	5	6	5	7	6
191970_at	1	11	6	5	4	4	5	5	6	6
191969_at	1	NC	7	7	6	5	7	5	7	7
191968_at	1	NC	5	4	4	4	5	4	5	5
191967_s_at	1	1	84	73	59	93	57	42	29	21
191966_at	1	NC	7	5	6	8	6	7	7	8
191965_at	1	4	236	81	176	166	140	104	179	123
191964_at	1	NC	7	4	5	4	6	5	6	6
191963_at	1	NC	5	5	5	4	5	4	6	5
191962_s_at	1	NC	10	7	9	13	21	8	8	5
191961_at	1	NC	5	4	4	4	5	4	5	5
191960_at	1	NC	6	4	5	4	6	5	6	5
191959_at	1	NC	5	4	5	4	5	4	6	5
191958_at	1	2	11	8	12	11	22	22	54	48
191957_at	1	NC	5	5	4	4	5	4	5	5
191956_at	1	NC	5	4	5	4	5	4	6	5
191955_at	1	NC	7	5	6	5	8	7	10	8
191954_at	1	NC	5	5	4	4	5	4	6	5
191953_at	1	NC	5	5	5	4	8	6	17	12
191952_s_at	1	NC	14	14	13	31	14	13	8	7
191951_at	1	12	5	6	5	4	5	5	6	6
191950_at	1	NC	5	5	5	4	5	4	6	6
191949_at	1	NC	6	5	4	4	6	4	6	5
191948_s_at	1	NC	46	76	52	65	56	70	66	77
191947_at	1	NC	5	5	6	5	6	5	6	6
191946_at	1	NC	5	4	5	4	6	4	6	6
191945_at	1	NC	8	8	9	7	10	7	11	9
191944_at	1	13	37	22	16	12	7	6	6	7
191943_at	1	NC	6	5	5	5	6	5	6	6
191942_s_at	1	NC	5	5	5	5	5	4	5	5
191941_at	1	NC	6	5	5	4	6	6	6	6
191940_at	1	NC	13	14	15	10	19	19	19	16
191939_at	1	NC	6	5	5	4	6	5	6	5
191938_at	1	NC	35	27	31	33	34	16	22	19
191937_at	1	NC	6	5	4	4	6	4	5	6
191936_at	1	NC	390	423	358	239	274	259	359	375
191935_s_at	1	NC	5	5	6	4	6	6	9	7
191934_at	1	NC	128	89	144	90	150	120	182	136
191933_at	1	NC	18	24	28	38	59	47	62	70
191932_at	1	NC	6	7	6	5	6	5	7	7
191931_at	1	NC	13	22	16	46	26	35	21	35
191930_at	1	NC	5	4	5	4	5	4	5	5
191929_at	1	NC	6	5	5	4	5	4	5	5
191928_at	1	1	40	47	38	48	26	22	12	12
191927_at	1	5	13	40	13	17	12	21	41	67
191926_s_at	1	NC	5	6	5	4	5	4	5	5
191925_at	1	NC	7	10	6	6	7	6	7	7
191924_s_at	1	1	95	65	77	94	60	38	13	14
191923_at	1	NC	22	16	21	30	18	18	10	13
191922_at	1	NC	5	5	5	4	5	4	5	5
191921_s_at	1	NC	33	31	38	30	43	48	67	46
191920_at	1	NC	5	5	6	4	5	5	5	5
191919_at	1	8	8	9	7	5	18	52	210	281
191918_at	1	NC	5	5	4	4	5	4	6	5
191917_at	1	NC	5	5	4	4	6	4	6	6
191916_at	1	NC	6	5	5	5	6	5	6	6
191915_s_at	1	2	61	50	72	72	78	81	120	111
191914_at	1	NC	115	64	84	64	65	49	46	32
191913_s_at	1	NC	8	8	8	6	9	7	8	8
191912_at	1	NC	6	5	6	5	6	6	6	6
191911_s_at	1	1	39	25	34	49	30	20	17	11
191910_at	1	NC	5	5	4	4	5	4	5	5
191909_at	1	NC	6	6	6	5	8	6	6	6
191908_s_at	1	NC	5	4	5	4	5	5	7	5
191907_s_at	0	NC	5	4	4	4	5	4	5	5
191906_at	1	NC	5	5	5	4	6	4	6	5
191905_at	1	NC	266	367	282	229	257	376	180	255
191904_s_at	1	NC	7	7	7	7	7	6	7	8
191903_s_at	1	NC	6	6	5	5	6	5	6	7
191902_s_at	1	11	23	25	24	54	17	16	12	19
191901_at	1	NC	6	5	5	4	6	5	6	6
191900_s_at	0	NC	6	4	5	4	6	5	6	6
191899_at	1	NC	5	5	4	4	5	4	5	5
191898_at	1	NC	6	5	5	5	5	5	5	6
191897_at	1	NC	6	7	5	5	6	5	6	5
191896_at	1	NC	5	6	5	4	6	4	6	6
191895_at	1	2	32	35	32	45	37	40	55	67
191894_at	1	5	182	136	105	218	97	179	245	291
191893_s_at	1	5	6	5	5	8	24	18	34	19
191892_at	1	NC	25	25	36	19	48	49	35	27
191891_at	1	NC	7	6	5	6	6	7	7	8
191890_s_at	1	2	7	7	7	8	10	10	13	13
191889_s_at	1	NC	49	35	70	60	73	52	116	71
191888_at	1	NC	6	5	4	4	5	5	5	6
191887_s_at	1	NC	5	5	5	4	6	4	5	6
191886_s_at	1	1	180	165	202	151	154	103	64	47
191885_at	1	NC	7	6	6	6	7	5	7	6
191884_s_at	1	NC	12	8	12	5	13	10	14	11
191883_at	1	1	153	48	52	83	32	20	18	17
191882_at	1	NC	6	7	5	5	7	6	7	6
191881_at	1	NC	9	9	9	7	8	10	8	8
191880_at	1	NC	5	4	4	4	5	4	5	5
191879_at	1	NC	5	5	5	4	6	4	6	6
191878_at	1	NC	25	26	36	24	25	26	15	19
191877_at	1	NC	6	5	4	4	5	4	6	5
191876_s_at	0	NC	6	5	5	4	5	5	6	5
191875_at	1	NC	32	26	27	39	17	16	14	17
191874_s_at	1	NC	6	6	5	4	5	5	7	6
191873_at	1	NC	8	16	12	5	9	16	11	14
191872_at	1	NC	5	5	5	4	5	4	5	6
191871_s_at	1	NC	8	9	7	6	7	6	6	5
191870_s_at	0	NC	15	14	12	10	11	7	7	6
191869_at	1	NC	9	6	8	6	8	5	6	6
191868_at	1	24	87	81	70	101	64	69	34	41
191867_at	0	NC	5	4	4	4	5	4	5	5
191866_at	1	NC	5	4	4	4	5	4	5	5
191865_s_at	1	NC	5	4	4	4	5	4	5	5
191864_s_at	1	NC	6	6	5	5	6	5	6	5
191863_at	1	12	5	4	4	4	5	4	5	5
191862_at	1	NC	25	17	21	20	15	9	8	7
191861_at	1	NC	6	5	4	4	5	5	5	6
191860_at	1	NC	5	5	4	4	5	5	6	5
191859_at	1	NC	15	11	16	18	13	8	10	10
191858_s_at	1	NC	9	10	10	10	10	8	7	10
