QUALIFIER	NR_NC filter	qt_cluster 200	PC-6	3C	PC32	0	23	41	53	66
194261_x_at	0	NC	6	5	5	18	8	10	7	9
194260_x_at	0	NC	5	4	5	4	5	4	5	5
194259_x_at	0	NC	6	6	6	5	6	5	6	6
194258_x_at	0	NC	20	30	19	29	18	15	9	9
194257_x_at	1	NC	5	4	5	4	5	4	5	5
194256_x_at	0	NC	7	7	6	6	7	6	7	7
194255_x_at	0	NC	5	4	4	4	5	4	5	8
194254_x_at	0	NC	8	7	7	6	7	7	9	9
194253_x_at	1	NC	154	182	133	210	130	151	119	129
194252_x_at	0	NC	7	7	7	5	7	7	8	8
194251_x_at	0	NC	6	4	4	4	6	4	6	6
194250_x_at	1	NC	255	190	238	253	190	259	208	285
194249_x_at	0	NC	6	4	6	4	6	5	7	8
194248_x_at	1	NC	9	16	9	11	11	17	19	26
194247_x_at	1	NC	12	14	15	17	27	21	17	13
194246_x_at	0	NC	8	6	6	5	7	5	7	7
194245_x_at	0	NC	5	4	4	4	5	4	5	8
194244_x_at	0	NC	606	615	644	505	683	816	1120	1278
194243_x_at	0	NC	17	39	22	20	23	17	8	8
194242_x_at	0	NC	66	60	56	92	83	95	63	56
194241_x_at	1	44	30	35	23	58	15	17	8	8
194240_x_at	0	NC	7	7	6	5	7	6	8	8
194239_x_at	0	NC	8	7	6	6	8	6	9	13
194238_x_at	0	NC	5	4	4	4	5	4	5	5
194237_x_at	0	NC	159	124	178	68	122	84	164	132
194236_x_at	0	NC	6	5	5	4	6	4	6	6
194235_x_at	0	NC	6	5	6	5	6	5	6	7
194234_x_at	0	NC	6	5	4	4	5	4	5	11
194233_x_at	0	NC	59	66	82	50	93	85	138	120
194232_x_at	0	NC	7	6	6	5	6	6	7	7
194231_x_at	0	NC	100	79	89	74	97	91	75	70
194230_x_at	0	NC	5	4	5	4	5	4	5	5
194229_x_at	0	NC	5	5	4	5	5	5	5	5
194228_x_at	0	NC	5	5	4	4	5	4	5	8
194227_x_at	0	NC	113	129	103	92	80	63	28	21
194226_x_at	0	NC	6	5	5	4	6	6	7	7
194225_x_at	0	NC	189	194	160	84	131	135	56	98
194224_x_at	0	NC	56	50	50	43	60	78	51	35
194223_x_at	0	NC	7	7	6	5	7	5	6	8
194222_x_at	1	13	850	683	428	769	147	282	81	134
194221_x_at	1	NC	12	9	11	5	9	9	8	7
194220_x_at	0	NC	100	114	135	108	141	107	112	81
194219_x_at	0	NC	111	151	93	143	97	165	77	76
194218_x_at	0	NC	6	4	5	4	5	5	5	5
194217_x_at	0	NC	52	54	54	62	53	45	25	26
194216_x_at	0	NC	5	5	5	5	6	6	5	7
194215_x_at	0	NC	181	255	153	562	200	320	90	146
194214_x_at	0	NC	305	320	330	212	350	351	339	397
194213_x_at	0	NC	632	502	590	642	535	304	238	164
194212_x_at	0	NC	76	67	73	47	72	74	63	50
194211_x_at	0	NC	6	5	6	5	6	4	5	5
194210_x_at	0	NC	53	49	47	43	68	63	99	80
194209_x_at	0	NC	16	17	21	44	30	31	26	28
194208_x_at	0	NC	16	19	21	17	33	30	50	30
194207_x_at	0	NC	8	6	6	5	8	7	8	6
194206_x_at	0	NC	78	105	75	60	102	42	9	9
194205_x_at	0	NC	8	7	8	7	7	7	9	8
194204_x_at	0	NC	62	54	70	68	77	67	53	43
194203_x_at	0	NC	6	6	5	4	6	5	7	6
194202_x_at	1	NC	124	148	96	118	116	132	123	130
194201_x_at	0	NC	33	33	39	43	47	35	27	29
194200_x_at	0	NC	17	23	16	22	23	31	38	31
194199_x_at	0	NC	249	203	304	110	271	242	415	281
194198_x_at	0	NC	22	78	28	47	40	111	62	130
194197_x_at	0	NC	5	5	4	4	5	4	5	5
194196_x_at	1	15	473	1005	476	350	218	567	321	619
194195_x_at	0	NC	10	37	12	43	24	55	20	53
194194_x_at	0	NC	46	54	47	47	75	116	134	159
194193_x_at	0	NC	132	252	140	161	145	170	52	63
194192_x_at	0	NC	324	354	334	384	405	433	464	467
194191_x_at	0	NC	202	217	162	430	154	226	92	119
194190_x_at	0	NC	14	22	16	38	31	31	17	21
194189_x_at	1	27	317	117	531	1024	1664	1296	2118	1680
194188_x_at	0	NC	5	6	4	4	6	7	8	14
194187_x_at	0	NC	6	6	5	4	5	5	5	6
194186_x_at	1	4	51	72	83	97	61	124	113	139
194185_x_at	0	NC	309	287	294	394	298	433	366	396
194184_x_at	0	NC	13	25	17	15	27	37	26	28
194183_x_at	0	NC	257	415	287	395	252	378	347	605
194182_x_at	0	NC	79	140	55	207	91	123	69	92
194181_x_at	0	NC	22	20	25	33	33	36	41	43
194180_x_at	0	NC	10	7	8	7	8	7	6	7
194179_x_at	0	NC	22	27	16	70	17	18	10	17
194178_x_at	0	NC	5	5	4	4	5	4	5	5
