Probe Set ID	Gene Symbol	Ensembl
178359_s_at	---	T28B8.1
178360_at	---	T20D3.1
178361_at	---	T27E7.4
178362_at	srd-36	R04D3.6
178363_at	---	T21E8.4
178364_at	tbx-36	ZK829.5
178365_s_at	---	F59F4.3
178366_at	---	T02G6.5
178367_at	---	K08H2.2
178368_at	---	C49A1.1
178369_at	---	C07B5.4
178370_at	srz-1	F14F8.3
178371_at	sdz-19	F45E6.6
178372_at	---	ZK829.3
178373_at	---	T15D6.1
178374_at	---	T02G6.4
178375_at	---	D1053.2
178376_s_at	---	ZK899.2
178377_at	tag-263	C11E4.3
178378_at	---	K10D6.4
178379_at	---	W02H3.1
178380_at	---	K03B8.8
178381_at	---	F32B4.4
178382_s_at	aakb-1	F55F3.1
178383_at	dylt-1	F13G3.4
178384_at	---	C06B3.2
178385_at	---	C35C5.11
178386_s_at	---	C47E8.4
178387_at	---	C35C5.6
178388_at	---	B0379.4
178389_at	---	F45E6.1
178390_at	---	C25G4.3
178391_at	---	T21E8.5
178392_s_at	---	K02E7.2 /// K02B7.2 /// W03G1.3 /// Y55F3C.11 /// R09E12.5 /// C17B7.13
178393_at	---	ZK899.1
178394_at	str-61	F14F8.1
178395_at	---	C07B5.2
178396_at	---	F47G4.1
178397_s_at	---	ZK899.5 /// ZK899.6
178398_at	---	R02D5.6
178399_s_at	scc-3	F18E2.3
178400_at	---	F39B2.7
178401_at	str-109	F10A3.5
178402_at	---	C01H6.8
178403_at	fbxa-88	F10A3.2
178404_at	---	C01G6.2
178405_at	---	C05G5.1
178406_at	---	M02G9.3
178407_at	---	---
178408_at	---	B0250.8
178409_s_at	lys-6	F58B3.3
178410_s_at	---	R04D3.4
178411_s_at	---	W02D9.7
178412_at	---	R02D5.3
178413_at	---	ZC482.4
178414_s_at	dog-1	F33H2.1
178415_s_at	---	F40F8.5
178416_at	---	R02D5.4
178417_s_at	---	W09C5.7
178418_s_at	---	F44F1.4
178419_at	srw-33	T26H5.5
178420_at	---	F11A5.5
178421_at	---	F13E9.4
178422_at	---	C07B5.6
178423_at	srw-83	ZK262.6
178424_at	---	---
178425_at	---	K08D8.6
178426_at	str-188	F40F9.4
178427_at	srj-4	C27A7.7
178428_at	---	W06D4.3
178429_at	---	F21D5.6
178430_at	---	C35C5.9
178431_s_at	---	T20D3.3
178432_s_at	---	ZC443.3
178433_at	---	C01G6.9
178434_at	---	F57G4.1
178435_at	---	C17H1.7
178436_at	---	F28G4.5
178437_at	clec-55	F08H9.9
178438_s_at	---	R119.7
178439_s_at	---	R07E5.15 /// T23F11.2 /// F17C8.7
178440_at	str-254	F10A3.9
178441_at	---	C34C6.7
178442_at	---	F57G4.5
178443_s_at	---	F57G4.5
178444_at	---	ZC302.3
178445_at	srbc-76	M01B2.4
178446_at	---	W02D9.8
178447_s_at	---	K08C9.2
178448_at	---	C03D6.1
178449_at	---	C53B4.8
178450_at	---	D1043.1
178451_at	---	E03H4.5
178452_s_at	fbxa-69	F54B8.3
178453_at	---	F11A5.7
178454_at	---	C17E4.4
178455_s_at	---	R119.5
178456_at	---	F57G4.8
178457_at	---	F11C3.1
178458_at	---	C31C9.3
178459_s_at	---	F57G4.6
178460_at	fbxa-108	F59A1.7
178461_at	---	C35A5.9
178462_at	---	T15D6.5
178463_at	tag-4	ZK337.4
178464_at	---	R193.2
178465_at	---	C08B6.11
178466_at	---	C25G4.8
178467_at	---	F36D1.8
178468_at	srd-70	F48F5.4
178469_at	sre-29	F57G9.4
178470_s_at	---	T27E9.6
178471_at	srw-82	ZK262.7
178472_at	---	K11B4.1
178473_at	---	F28H7.7
178474_at	---	C15A7.3
178475_at	---	---
178476_at	---	ZC434.3
178477_at	---	F28G4.3
178478_at	---	---
178479_s_at	let-19	K08F8.6
178480_at	---	C38D9.8
178481_at	---	F09E8.1
178482_at	twk-40	T28A8.1
178483_at	tag-242	C14A4.1
178484_at	xbx-7	R148.1
178485_at	---	F14F7.5
178486_s_at	---	F25B3.6
178487_at	---	ZC482.7
178488_at	---	F19H6.3
178489_at	---	F36A2.7
178490_at	---	R09A8.1
178491_at	---	---
178492_at	---	T05D4.5
178493_at	srj-22	F28H7.1
178494_at	---	C27D8.3
178495_at	---	F14H3.4
178496_at	---	---
178497_at	---	C13G3.1
178498_at	---	C34C6.2
178499_at	---	R193.1
178500_at	---	ZC482.2
178501_at	srh-179	ZK228.7
178502_at	---	C14A4.6
178503_at	---	W02D9.6
178504_at	---	D2045.1
178505_s_at	---	F40F8.4
178506_at	srab-18	T11A5.3
178507_at	---	F53F4.4
178508_at	---	C14A4.9
178509_at	---	F22B8.4
178510_at	---	R03C1.1
178511_at	srd-41	F17A2.6
178512_at	nlp-39	C54C8.9
178513_at	---	C38D4.7
178514_at	---	Y6D1A.1
178515_s_at	---	T14D7.2
178516_at	---	C17H1.13
178517_at	---	C49F8.3
178518_at	---	W04G5.7
178519_at	---	C35A5.4
178520_at	---	T05D4.3
178521_s_at	---	T05D4.3
178522_at	---	W09H1.4
178523_at	---	M02B1.4
178524_at	srh-145	F26D2.4
178525_at	---	B0284.3
178526_at	---	T24F1.4
178527_at	---	E01G6.2
178528_at	---	C04B4.4
178529_at	---	ZK856.6
178530_at	---	---
178531_at	---	K01C8.6
178532_at	str-261	W09D6.2
178533_at	---	F41D3.2
178534_s_at	---	T28D6.6
178535_at	---	C38D4.4
178536_at	---	W04A8.2
178537_at	---	T06D8.2
178538_at	---	F58B4.4
178539_at	---	M05B5.6
178540_at	---	T13F3.4
178541_at	---	ZK84.2
178542_at	srg-44	F31E9.2
178543_at	---	K07G5.5
178544_at	---	T06D8.9
178545_at	---	F11A1.2
178546_at	---	F17A2.4
178547_at	---	R148.7
178548_at	---	R05H5.7
178549_at	---	K07A1.3
178550_at	---	C33G3.5
178551_at	srw-36	F14F8.7
178552_at	---	C33B4.2
178553_at	---	C44H9.5
178554_s_at	---	C41G7.3
178555_at	---	F13E9.8
178556_at	---	R06C7.6
178557_at	---	F14H8.4
178558_at	---	F57G9.3
178559_at	---	C47B2.9
178560_at	---	F55G7.2
178561_at	---	Y6B3B.4
178562_at	---	F56G4.6
178563_at	---	T16G1.6
178564_at	---	B0379.6
178565_at	srbc-26	F40D4.7
178566_at	---	F26A3.6
178567_at	---	T05A6.5
178568_s_at	---	C49F5.6
178569_at	sri-16	F15H9.4
178570_s_at	---	T28F4.1
178571_s_at	---	C37A5.4 /// C37A5.2
178572_at	---	C25A1.9
178573_at	---	C44B9.1
178574_at	---	F43G9.4
178575_at	---	W07G4.1
178576_at	srh-147	K08G2.12
178577_at	---	C49F8.1
178578_at	---	---
178579_at	---	F33E2.6
178580_at	---	C25F9.8
178581_at	srh-264	T06E6.8
178582_at	---	C47F8.7
178583_at	---	K08D8.2
178584_at	---	F14D7.8
178585_s_at	fbxb-31 /// fbxb-33	M151.5 /// M151.8
178586_at	srr-1	W07G4.6
178587_s_at	---	F52A8.1
178588_s_at	amx-2	B0019.1
178589_at	srh-142	T08G3.3
178590_at	---	T01C3.9
178591_at	grl-17	C56A3.1
178592_at	---	K06B4.3
178593_at	---	F32A7.4
178594_at	---	F21G4.4
178595_at	---	W03H9.2
178596_at	---	F14B6.4
178597_at	---	F25H9.7
178598_at	---	ZK262.3
178599_at	spp-12	T22G5.7
178600_at	---	F26E4.2
178601_at	---	R10E8.2
178602_at	---	M04C9.1
178603_s_at	---	T06E6.1
178604_at	ekl-1	F22D6.6
178605_s_at	---	C25A1.1
178606_at	sru-35	C33D9.4
178607_s_at	---	F26A3.1
178608_s_at	cup-2	F25D7.1
178609_at	mtd-1	ZK337.5
178610_at	---	C49A1.9
178611_at	---	F59C6.4
178612_at	---	T01G1.2
178613_at	---	F36F2.2
178614_s_at	---	F36F2.2
178615_s_at	---	T12G3.2
178616_at	---	T21B4.3
178617_at	---	W06G6.2
178618_at	---	T05A6.4
178619_at	---	C55A1.6
178620_at	sri-15	F15H9.2
178621_at	---	T24B8.3
178622_at	---	T01C3.8
178623_at	srz-6	T21B4.1
178624_at	---	C56A3.8
178625_s_at	---	F14H3.6
178626_s_at	---	W03H9.4
178627_s_at	---	D2013.3
178628_s_at	sec-5	T23G7.4
178629_at	---	ZK822.4
178630_at	che-13	F59C6.7
178631_s_at	---	F14B6.2
178632_at	---	---
178633_at	---	R144.11
178634_at	---	R10E8.4
178635_at	plsc-4	F11A6.2
178636_at	che-13	F59C6.7
178637_at	srx-49	T26H8.3
178638_at	---	D2089.2
178639_at	sru-15	T02D1.3
178640_at	---	C54C8.5
178641_s_at	---	ZK822.1
178642_at	---	T03F6.4
178643_s_at	---	C24F3.4
178644_at	---	---
178645_at	---	F54C9.7
178646_at	---	F33E2.4
178647_at	---	F57C2.1
178648_s_at	---	F30F8.1
178649_s_at	---	F41D3.7 /// F41D3.11
178650_at	---	C44H9.8
178651_at	---	F08G2.5
178652_at	---	ZK84.1
178653_at	---	W06B3.1
178654_s_at	---	W04A8.4
178655_at	sru-44	T08G3.8
178656_at	---	F36D1.6
178657_at	---	C34B7.4
178658_at	---	C08E8.1
178659_at	---	R05D7.5
178660_at	---	C47E8.1
178661_at	---	F14D7.1
178662_s_at	---	T23G7.2
178663_at	grl-2	T16G1.8
178664_at	---	F21D5.8
178665_at	---	W04A8.3
178666_at	pqn-71	T23F1.6
178667_at	---	W08E3.4
178668_at	---	---
178669_s_at	ins-24	ZC334.3
178670_at	---	F40F8.3
178671_at	---	---
178672_s_at	---	C45E1.4
178673_at	---	R05H5.5
178674_at	---	Y6B3B.9
178675_at	---	F47G9.6
178676_at	srw-10	ZC482.6
178677_at	---	R07B7.7
178678_at	---	K04H8.3
178679_at	---	C47B2.1
178680_at	---	M04C9.4
178681_at	---	C38D9.3
178682_at	lem-2	W01G7.5
178683_at	---	T21B6.5
178684_at	sre-31	F57G9.1
178685_at	---	D2085.7
178686_s_at	---	ZC412.4
178687_at	---	F15H9.1
178688_s_at	---	K08D8.3
178689_at	ins-33	W09C5.4
178690_s_at	---	F33E2.5
178691_at	---	K07A1.4
178692_at	---	F54D5.2
178693_at	---	M151.3
178694_at	---	F14H8.2
178695_at	---	F53B3.6
178696_at	str-23	C55A1.5
178697_at	srd-39	R04D3.8
178698_at	---	K07G5.4
178699_at	rdy-2	F53F4.6
178700_at	---	M151.1
178701_at	---	T21B6.4
178702_at	---	D2005.6
178703_at	---	T01C3.5
178704_s_at	cki-1	T05A6.1
178705_at	---	C03A3.1
178706_s_at	sdz-14	F14B6.1
178707_at	---	C56A3.5
178708_s_at	---	C14A4.8
178709_at	srh-18	C50B6.5
178710_at	---	F59C6.2
178711_at	---	T22G5.1
178712_at	---	F38H4.6
178713_at	---	D1046.5
178714_at	---	K04H8.2
178715_at	---	C33G3.3
178716_at	---	D2085.2
178717_at	cpg-3	R06C7.4
178718_at	---	T22A3.4
178719_at	---	F13E9.5
178720_at	---	F08G2.4
178721_at	---	C25F9.4
178722_at	---	---
178723_at	---	F54D5.3
178724_s_at	---	F54D5.3
178725_at	---	D2005.4
178726_s_at	nud-2	R11A5.2
178727_s_at	---	F54D5.9
178728_at	---	R01E6.2
178729_at	---	R06C7.2
178730_at	---	C55A1.9
178731_at	---	T20D3.6
178732_at	---	K07A1.1
178733_at	---	R07B7.2
178734_at	fbxb-9	C08F8.5
178735_at	---	C27D8.2
178736_at	str-252	C06B3.9
178737_at	---	K08C7.6
178738_at	sri-17	F15H9.3
178739_at	---	F35E8.9
178740_at	---	T22C1.9
178741_at	---	C25A1.6
178742_s_at	---	F57C2.5
178743_at	srh-258	T06E6.7
178744_at	---	M02G9.2
178745_at	---	T25C8.1
178746_s_at	---	F26E4.4
178747_at	---	M02B1.3
178748_at	---	F14B6.3
178749_s_at	str-151 /// str-150	T03E6.1 /// T03E6.4
178750_at	---	F21G4.5
178751_at	---	C03A3.2
178752_at	---	W06A7.4
178753_at	---	F28H6.4
178754_at	sre-22	F36D1.2
178755_s_at	---	C25F9.5
178756_at	---	T01G5.6
178757_at	---	F19H8.4
178758_at	---	R07E3.2
178759_at	nlp-4	F59C6.6
178760_at	---	Y6B3B.7
178761_at	---	T02E1.6
178762_at	---	F53A2.3
178763_at	---	C55A1.11
178764_at	---	K10G4.1
178765_at	---	T01C3.2
178766_at	---	R11D1.4
178767_at	---	C10C5.2
178768_s_at	tag-353	F25D7.2
178769_at	---	---
178770_at	---	C14A4.7
178771_at	---	---
178772_at	---	F36F2.1
178773_at	---	T13F3.6
178774_s_at	---	T13F3.6
178775_at	---	C01G6.3
178776_at	ins-30	ZC334.2
178777_s_at	---	D2085.5
178778_s_at	---	T13H5.6
178779_at	srv-8	F53F1.7
178780_at	---	C54C8.3
178781_at	---	R07A4.4
178782_at	---	D1081.6
178783_at	---	T28F4.6
178784_at	---	W09H1.3
178785_s_at	---	F32A11.1 /// W09H1.3
178786_s_at	---	D1081.7
178787_at	---	---
178788_s_at	---	F45B8.3
178789_at	---	F25B3.2
178790_at	---	F47B8.3
178791_at	---	F53B2.1
178792_at	---	R09A8.2
178793_s_at	---	W04A8.5
178794_at	---	F56G4.1
178795_at	---	F20G4.2
178796_at	---	C08E8.2
178797_at	---	C49F5.7
178798_s_at	---	K02B7.3
178799_at	---	F14D7.7 /// F14D7.10
178800_at	---	ZK218.5
178801_at	srh-148 /// srh-147	K08G2.12 /// K08G2.5
178802_at	---	C40H5.2
178803_at	---	K06B4.4
178804_at	---	F57B1.5
178805_at	---	C11E4.4
178806_s_at	---	C16C2.4
178807_at	fbxb-62	F55C9.8
178808_at	---	---
178809_at	---	Y6B3B.3
178810_at	---	C15A7.2
178811_s_at	---	R10E8.1
178812_at	---	F14D7.3
178813_at	prx-11	C47B2.8
178814_at	---	F32B4.5
178815_at	---	F16H6.3
178816_at	srh-44	B0334.7
178817_at	---	C47E8.6
178818_at	---	---
178819_s_at	---	F44G3.7
178820_at	---	F54D5.4
178821_at	hst-2	C34F6.4
178822_s_at	hst-2	C34F6.4
178823_at	---	C09G9.3
178824_at	fbxb-60	F55C9.7
178825_at	---	C49F5.5
178826_at	---	C34F6.5
178827_at	---	ZK218.1
178828_at	---	K08E4.3
178829_at	---	R144.13
178830_at	---	B0001.1
178831_at	---	C31C9.4
178832_at	---	R07E3.7
178833_s_at	---	T12G3.6
178834_at	---	F47B8.2
178835_s_at	---	B0001.8
178836_at	---	F40F8.8
178837_at	---	K01C8.8
178838_at	---	F16H6.4
178839_s_at	npp-22	B0240.4
178840_at	---	F46A9.2
178841_at	---	T22G5.3
178842_at	srw-16	T10H4.5
178843_at	---	F08G5.6
178844_at	---	D1081.3
178845_at	---	F43G9.8
178846_at	dnj-18	T04A8.9
178847_at	---	C30F2.3
178848_at	str-245	F32A7.7
178849_at	srw-85	C25F9.1
178850_at	---	F47G4.8
178851_at	---	B0564.2
178852_s_at	---	D1081.9
178853_at	---	F30F8.5
178854_at	---	M05B5.2
178855_at	---	C15C8.5
178856_at	srg-45	C51F7.2
178857_at	---	T05A1.5
178858_at	---	R05D7.3
178859_at	---	R09A8.5
178860_at	---	F14B6.5
178861_at	---	K02D3.2
178862_at	srg-15	C34C6.1
178863_at	---	C17H1.2
178864_at	---	Y6B3B.1
178865_at	str-141	F47G9.2
178866_at	---	F38H4.1
178867_at	---	F28B1.4
178868_at	eak-4	F53B2.3
178869_at	srr-7	T01G5.4
178870_s_at	---	T06D8.7
178871_at	---	F41D3.4
178872_at	---	C25F9.6
178873_at	---	C43F9.4
178874_at	---	T02G6.2
178875_at	---	T02G6.3
178876_at	---	F56A8.5
178877_at	---	---
178878_at	---	C38D9.5
178879_at	---	F43G9.5
178880_at	---	W06G6.7
178881_at	---	R193.3
178882_at	srw-76	W06G6.6
178883_at	---	F19C7.8
178884_at	---	K08C7.4
178885_at	sdz-20	F53A2.2
178886_at	---	F32D8.3
178887_at	---	B0019.2
178888_at	---	F25H9.3
178889_at	---	---
178890_at	---	C38D9.7
178891_at	---	D2089.3
178892_at	---	C38D9.6
178893_at	---	C08F8.4
178894_at	fbxa-133	C38D9.4
178895_at	---	R06C7.1
178896_at	---	C25F9.2
178897_s_at	---	T26E3.8
178898_at	---	F55C9.3
178899_at	sri-7	T06E6.4
178900_s_at	---	F45D3.4
178901_at	srxa-16	F44G3.5
178902_at	---	T02G6.1
178903_at	---	R11A5.6
178904_s_at	---	T08G5.9 /// T08G5.8
178905_s_at	---	C37A5.7
178906_at	---	R07A4.3
178907_at	srg-37	K04C1.1
178908_at	---	---
178909_at	---	T26H5.8
178910_at	srh-269	T03E6.5
178911_at	---	T28A8.3
178912_at	---	F35G2.5
178913_at	---	C01H6.6
178914_s_at	---	C55A1.4 /// C55A1.7
178915_at	---	C49F5.3
178916_at	srd-50	F15A2.4
178917_at	---	C25F9.9
178918_at	---	T06D8.1
178919_at	str-248	C55A1.3
178920_at	---	F31B9.2
178921_at	---	ZK856.5
178922_at	---	T28F4.5
178923_at	---	C01H6.3
178924_at	---	C17H1.6
178925_at	---	---
178926_s_at	heh-1	R148.6
178927_at	---	K08D8.5
178928_s_at	---	F39B2.8
178929_at	---	F47G9.3
178930_at	---	F19H8.2
178931_s_at	---	T20D3.8
178932_at	---	C17E4.3
178933_at	---	T23D5.3
178934_at	nlp-8	D2005.2
178935_at	---	F07D3.3
178936_at	---	F21G4.3
178937_at	srd-45	F17A2.7
178938_at	---	C50B6.9
178939_at	---	F32B4.8
178940_at	efn-3	F15A2.5
178941_at	---	F09A5.3
178942_s_at	---	T22A3.3
178943_at	mau-2	C09H6.3
178944_at	---	F45D3.2
178945_s_at	---	F53B6.4
178946_at	---	F21A3.5
178947_at	srh-109	T19C9.4
178948_at	---	C05A9.2
178949_at	---	W01G7.4
178950_at	srw-73	T03E6.6
178951_at	---	C27A7.6
178952_at	---	---
178953_s_at	---	B0001.2
178954_at	abf-3	F54B8.5
178955_at	---	F45D3.1
178956_at	---	B0024.15
178957_s_at	---	F01G4.4
178958_at	---	F46A8.5
178959_at	---	F48F5.2
178960_at	---	F35E8.6
178961_at	---	---
178962_at	sru-13	F53B2.4
178963_at	---	F53B6.7
178964_s_at	---	F53B7.3
178965_at	pqn-11	C09G1.1
178966_at	---	R06B9.5
178967_at	---	ZC434.7
178968_at	---	R01E6.7
178969_at	---	F21A3.7
178970_at	---	T02E1.2
178971_s_at	---	R10E8.6
178972_at	---	C34F6.7
178973_at	---	T03F7.5
178974_at	---	ZC504.1
178975_at	---	F41D3.8
178976_at	str-263	B0391.12
178977_at	---	F14B6.6
178978_s_at	---	F14B6.6
178979_at	---	K01C8.2
178980_at	---	C03A3.3
178981_s_at	---	B0001.3
178982_at	---	T05D4.2
178983_at	---	ZC482.3
178984_at	str-73	F26D2.1
178985_at	---	C04B4.1
178986_s_at	---	H24G06.1
178987_at	---	C32A9.1
178988_at	---	T08G5.1
178989_at	---	C09G1.3
178990_at	---	T23F1.3
178991_s_at	---	F21G4.6
178992_at	---	---
178993_at	---	K02D3.1
178994_at	---	C49A1.6
178995_at	---	C26E1.3
178996_at	efn-2	C43F9.8
178997_at	srh-276	F21A3.1
178998_at	---	Y2H9A.4
178999_at	srh-47	T03F7.4
179000_at	---	C49G9.1
179001_at	fbxb-86	T27E9.8
179002_at	---	W03H9.3
179003_at	---	F46A8.8
179004_at	---	T28A8.5
179005_at	---	C04B4.6
179006_at	---	R01E6.5
179007_at	---	F14H8.5
179008_at	---	C09G1.2
179009_at	---	C26E1.1
179010_at	---	ZK795.2
179011_at	---	K08E4.4
179012_at	bath-37	K08E4.5
179013_s_at	---	T20D3.2
179014_at	---	C49A1.5
179015_at	---	F53F1.6
179016_at	---	T05A1.5
179017_at	---	C03D6.6
179018_at	---	C17H1.3
179019_at	---	---
179020_at	---	C08E8.3
179021_at	---	F35E8.2
179022_at	---	C50F4.1
179023_at	---	K08G2.2
179024_at	---	F28D9.2
179025_at	---	F41D3.9
179026_at	---	C17G1.2
179027_at	---	W02D9.4
179028_at	---	C43F9.5
179029_s_at	---	F01G4.5
179030_at	---	C47F8.3
179031_s_at	---	F53F4.7
179032_at	---	C08F8.3
179033_at	---	---
179034_s_at	---	M03B6.3
179035_s_at	---	C35A5.8
179036_at	pqn-67	T16G1.1
179037_at	---	F31E9.3
179038_at	---	F26A3.5
179039_at	---	K08E4.2
179040_at	---	F28D9.4
179041_at	---	C09G9.2
179042_at	---	W04A8.6
179043_at	---	C09G9.5
179044_s_at	---	F20G4.1
179045_at	---	---
179046_at	---	F46A9.1
179047_at	---	F32B4.1
179048_at	---	ZK795.1
179049_at	---	C16D2.1
179050_at	srg-36	K04C1.6
179051_s_at	---	ZK228.3
179052_s_at	---	B0001.7
179053_at	---	T28F4.4
179054_at	---	C43F9.7
179055_at	srz-75	Y7A9C.9
179056_s_at	---	F52A8.3
179057_at	lys-9	C54C8.6
179058_at	---	F25H9.2
179059_at	---	ZC518.4
179060_at	---	C33G3.6
179061_at	---	C25D7.8
179062_s_at	---	F14D7.2
179063_at	---	C55A1.1
179064_at	---	ZK218.8
179065_s_at	---	T23B5.1
179066_at	---	ZK792.8
179067_at	---	K11B4.2
179068_s_at	---	T01D3.5
179069_at	---	C08E8.4
179070_at	---	T27A8.5
179071_at	---	F31B9.3
179072_at	---	---
179073_at	---	C50B6.3
179074_at	srd-49	R04B5.8
179075_at	---	T02D1.4
179076_at	---	K10G4.3
179077_at	---	F53B7.4
179078_s_at	---	F54C9.3
179079_at	---	C50B6.1
179080_at	---	C25G4.7
179081_at	---	F35E8.7
179082_s_at	---	T08G5.5
179083_s_at	---	R03E1.2
179084_at	---	F22B3.5
179085_at	fbxb-117	F55C9.1
179086_s_at	---	B0379.1
179087_at	---	T19C9.6
179088_at	str-15	T08G3.1
179089_at	srh-293	K08G2.8
179090_at	---	F25B3.5
179091_at	---	F15A2.7
179092_at	---	M151.4
179093_at	---	T16G1.4
179094_s_at	---	T16G1.4
179095_at	---	F32D8.2
179096_at	srh-159	F40D4.3
179097_at	srx-43	T10C6.3
179098_at	---	T19C9.8
179099_at	fbxb-33	M151.8
179100_at	---	T26E3.5
179101_at	---	R148.3
179102_at	---	T28C6.8
179103_at	---	F19H6.6
179104_at	srw-17	T10H4.6
179105_at	---	C17H1.5
179106_s_at	---	C17G1.4
179107_s_at	---	---
179108_at	---	K07F5.7
179109_at	srd-51	F15A2.3
179110_at	---	C39E9.8
179111_at	srz-12	K08G2.7
179112_at	srbc-50	F54B8.8
179113_at	srh-265	T06E6.9
179114_at	---	W06A7.2
179115_at	---	F42E8.1
179116_at	---	F55G7.1
179117_at	---	F32B4.2
179118_at	fbxa-82	C25D7.4
179119_at	---	B0001.6
179120_s_at	---	F49E2.2
179121_at	---	T03F7.6
179122_at	---	R10E4.9
179123_at	---	B0391.5
179124_at	---	F55G7.3
179125_at	---	F13E9.9
179126_at	---	ZK218.7
179127_s_at	---	C17G1.5
179128_at	---	F44F4.9
179129_at	srh-207	ZK262.1
179130_at	---	ZK930.3
179131_at	---	T08G5.3
179132_at	---	C31H5.1
179133_at	---	T05F1.1
179134_s_at	---	B0491.3
179135_at	---	R10E8.3
179136_at	---	C45G3.5
179137_at	---	F14F8.8
179138_at	---	K11E4.3
179139_at	---	T05D4.4
179140_at	mel-28	C38D4.3
179141_at	gon-4	K04D7.5
179142_at	---	C15C8.6
179143_at	---	C47F8.1
179144_at	---	T25B9.3
179145_at	---	F16H6.9
179146_at	---	T28A8.4
179147_at	---	T22C1.5
179148_at	---	C17H1.14
179149_at	---	F47B8.8
179150_at	---	T28A8.2
179151_at	---	ZK262.8
179152_at	---	C07C7.1
179153_at	---	R148.4
179154_at	---	T28D6.7
179155_s_at	---	F20G2.3
179156_at	srbc-48	F54B8.6
179157_at	srd-34	F32G8.1
179158_at	---	F47B8.6
179159_at	---	C02B4.3
179160_at	---	T26H5.4
179161_at	acy-3	C44F1.5
179162_at	srw-51	F40D4.8
179163_at	---	---
179164_at	---	C06G8.1
179165_at	---	W04A4.2
179166_s_at	---	R148.5
179167_at	---	M05D6.6
179168_at	srz-103	F14F8.4
179169_s_at	---	W09G3.6
179170_at	sru-42	C55A1.8
179171_at	---	T27F6.8
179172_at	---	---
179173_at	---	ZK930.5
179174_at	gtl-2	F54D1.5
179175_at	---	T04B2.5
179176_at	---	C52G5.2
179177_at	---	F59A2.6
179178_s_at	---	F16H6.8 /// F16H6.9
179179_at	---	M03B6.4
179180_at	sru-47	F36D1.3
179181_at	---	T27F6.4
179182_at	---	F46F6.4 /// F46F6.3
179183_at	---	F59A1.9
179184_at	---	F26H9.2
179185_at	srh-155	F40D4.2
179186_at	---	M04C7.3
179187_s_at	---	F46F2.3
179188_at	---	K07C5.7
179189_at	srh-17	C47E8.2
179190_at	---	ZK892.5
179191_at	srh-261	K03D7.4
179192_s_at	srh-261	K03D7.4
179193_at	---	C04B4.5
179194_at	---	W07G4.5
179195_at	---	ZK265.7
179196_at	amx-3	F25C8.2
179197_s_at	fbxa-136	C18D4.2
179198_at	bath-39	F25H9.4
179199_at	---	T09F5.1
179200_at	---	T28C6.9
179201_at	---	F57A8.2
179202_at	---	T02E9.5
179203_at	---	F32G8.3
179204_s_at	---	T27F2.4
179205_at	---	ZC21.8
179206_at	---	F58B4.3
179207_at	---	---
179208_at	---	B0399.1
179209_at	---	Y6E2A.8
179210_at	---	T05F1.9
179211_s_at	---	W09G3.2
179212_at	srj-27	T01G5.3
179213_at	---	F07A5.6
179214_at	---	F54B8.4
179215_at	---	K06G5.3
179216_at	fbxb-79	R07H5.7
179217_s_at	---	K08E7.1
179218_at	---	W02A2.8
179219_at	---	F25C8.3
179220_s_at	---	F53H4.2
179221_s_at	---	D1025.1
179222_at	---	F19C6.4
179223_at	---	F33C8.4
179224_s_at	---	B0024.8
179225_at	---	T10G3.2
179226_at	---	C06B3.7
179227_at	---	R10E4.6
179228_at	sdz-27	R07H5.4
179229_at	---	F33C8.2
179230_at	---	C47E8.3
179231_at	---	C47G2.5
179232_at	---	R07H5.3
179233_at	---	F20D1.1
179234_at	---	---
179235_at	---	C31H5.5
179236_at	---	Y6B3B.9
179237_at	---	K11E4.1
179238_at	---	C46C2.3
179239_at	---	F53H4.3
179240_at	---	M03B6.1
179241_at	---	W07G1.1
179242_at	srx-44	T10C6.4
179243_at	---	R106.1
179244_s_at	---	C47G2.3
179245_at	---	F57B1.6
179246_s_at	---	M01B2.8 /// F54B8.1
179247_at	---	F23A7.5
179248_at	---	F11C1.4
179249_at	---	ZK617.2
179250_at	---	F13E6.5
179251_at	---	T28C6.5
179252_at	ham-1	F53B2.6
179253_at	---	C26G2.2
179254_at	---	F25H8.6
179255_at	fbxa-94	F28F8.8
179256_at	---	F14D7.5
179257_at	fbxb-8	F49B2.1
179258_at	---	---
179259_at	pdr-1	K08E3.7
179260_s_at	pdr-1	K08E3.7
179261_at	srh-178	ZK228.8
179262_at	lge-1	K09C8.4
179263_at	frm-7	C51F7.1
179264_at	---	K06G5.1
179265_at	srh-181	ZK228.6
179266_at	---	F15D4.5
179267_at	---	R10E8.5
179268_s_at	---	F15B9.5
179269_at	---	W07G4.2
179270_at	---	R07E5.7
179271_at	---	C18D4.1
179272_at	---	C06B3.6
179273_at	---	C04B4.2
179274_at	---	T04F8.6
179275_at	---	F31E9.1
179276_s_at	---	F31E9.1 /// C18D4.8
179277_at	---	F15D4.3
179278_s_at	---	F15D4.3
179279_at	srh-46	T03F7.3
179280_at	---	F13E6.3
179281_at	---	F53H4.4
179282_at	---	C13C4.6
179283_at	---	C46E1.1
179284_at	---	T28C6.3
179285_at	---	ZK669.3
179286_at	---	F26F2.7
179287_s_at	pash-1	T22A3.5
179288_at	xbx-1	F02D8.3
179289_at	---	T10C6.5
179290_s_at	---	T10C6.5
179291_at	---	F32G8.2
179292_at	---	R105.1
179293_at	---	F31D4.9
179294_at	---	F43D2.2
