Probe Set ID	Gene Symbol	Ensembl
171867_x_at	msp-19 /// msp-81 /// msp-113 /// msp-57 /// msp-55 /// msp-59 /// msp-50 /// msp-65 /// msp-77 /// msp-74 /// msp-53 /// msp-51 /// msp-79 /// msp-152	ZK546.6 /// F09C12.7 /// C34F11.4 /// C09B9.6 /// R13H9.2 /// R13H9.4 /// Y59E9AR.7 /// Y59E9AR.1 /// F36H12.7 /// ZK354.5 /// ZK354.4 /// ZK354.11 /// ZK354.1 /// Y59H11AM.1 /// T13F2.10 /// K07F5.1 /// F32B6.6
171868_x_at	---	Y71G12B.11
171869_at	---	T14E8.1
171870_x_at	---	C14A4.4
171871_x_at	rsr-1	F28D9.1
171872_s_at	---	Y66D12A.8
171873_x_at	fli-1	B0523.5
171874_x_at	---	F31E3.5 /// R03G5.1
171875_x_at	---	Y37E11AL.3
171876_at	---	F58G11.1
171877_x_at	ida-1	B0244.2
171878_s_at	hmg-1.1	Y48B6A.14
171879_x_at	---	H17B01.4
171880_x_at	---	---
171881_x_at	eat-6	B0365.3
171882_x_at	---	C47E12.5
171883_x_at	---	K02F6.7
171884_x_at	---	F59F4.2
171885_x_at	tag-319	C30B5.1
171886_x_at	---	---
171887_x_at	---	---
171888_x_at	---	Y37D8A.21
171889_x_at	---	K04C2.2
171890_x_at	---	F56E3.3
171891_at	---	MTCE.35
171892_x_at	gln-1	C45B2.5
171893_x_at	mcm-3	C25D7.6
171894_x_at	tag-127	T08H4.1
171895_s_at	---	Y17G7B.17
171896_x_at	---	F44D12.3 /// F44D12.5 /// F44D12.7
171897_x_at	---	C14B9.2
171898_x_at	---	F57G12.1
171899_x_at	---	F18A1.5
171900_s_at	---	B0511.6
171901_x_at	haf-4	W04C9.1
171902_x_at	---	R05C11.3
171903_x_at	---	C16C10.3
171904_x_at	---	---
171905_x_at	---	K10D6.2
171906_x_at	---	K10C8.3
171907_x_at	---	W02B9.1
171908_x_at	---	B0491.5
171909_s_at	---	C14C10.3
171910_x_at	---	C01G6.1
171911_x_at	---	F53F4.11
171912_x_at	cht-1	C04F6.3
171913_x_at	---	---
171914_x_at	---	F36F12.1
171915_at	---	MTCE.12
171916_s_at	---	ZK131.11
171917_x_at	---	Y69A2AR.18
171918_x_at	---	Y17G7B.10
171919_x_at	---	---
171920_x_at	---	---
171921_x_at	---	C01B10.5
171922_x_at	---	T10B5.5
171923_x_at	---	Y38F1A.6
171924_x_at	---	F08B6.4
171925_x_at	---	---
171926_x_at	dhs-28	M03A8.1
171927_x_at	tag-174	F54D8.2
171928_x_at	---	F09E8.2
171929_x_at	---	C18E3.2
171930_x_at	---	F52G2.2
171931_s_at	---	C27H6.8
171932_x_at	---	F09C8.1
171933_at	---	Y37E3.11
171934_x_at	---	MTCE.11
171935_s_at	---	D1044.2
171936_s_at	---	F23H12.2
171937_x_at	---	---
171938_x_at	---	---
171939_x_at	---	T07A9.10
171940_x_at	---	W09C5.6
171941_s_at	---	F44E5.4 /// F44E5.5
171942_x_at	---	Y47G6A.20
171943_x_at	---	---
171944_x_at	---	T28F12.2
171945_x_at	mlt-10	C09E8.3
171946_x_at	clic-1	T05B11.3
171947_x_at	cyb-1	ZC168.4
171948_x_at	tba-2	C47B2.3
171949_x_at	---	Y39A1A.24
171950_x_at	---	T12G3.7
171951_x_at	---	Y39E4B.3
171952_s_at	mex-1	W03C9.7
171953_x_at	ran-1	K01G5.4
171954_x_at	rps-11	F40F11.1
171955_x_at	---	F52D10.3
171956_s_at	ptr-23	ZK270.1
171957_x_at	rpl-38	C06B8.8
171958_at	---	MTCE.25
171959_x_at	rps-18	Y57G11C.16
171960_x_at	his-72	Y49E10.6
171961_x_at	---	Y57G11C.10
171962_x_at	---	---
171963_x_at	---	F01F1.8
171964_s_at	---	T20B12.7
171965_x_at	---	Y73F8A.34
171966_x_at	---	M03F4.7
171967_x_at	---	C27H2.2
171968_x_at	dnj-19	T05C3.5
171969_x_at	---	ZK669.4
171970_x_at	---	H39E23.3
171971_x_at	---	---
171972_x_at	klp-20	Y50D7A.6
171973_at	---	T01G1.3
171974_x_at	---	C56C10.13
171975_x_at	rsp-3	Y111B2A.18
171976_x_at	rps-20	Y105E8A.16
171977_x_at	---	C06A8.3
171978_x_at	---	---
171979_x_at	---	T19H12.2
171980_x_at	---	ZK757.3 /// T22B3.2
171981_x_at	---	---
171982_x_at	---	F23B2.5
171983_s_at	---	Y51A2D.8
171984_at	vha-13	Y49A3A.2
171985_x_at	---	---
171986_x_at	---	T27E4.4
171987_x_at	---	W08F4.3
171988_at	ost-1	C44B12.2
171989_x_at	puf-12	ZK945.3
171990_x_at	dpy-27	R13G10.1
171991_x_at	---	Y39A3CL.4
171992_x_at	---	Y38E10A.6
171993_x_at	daf-5	W01G7.1
171994_x_at	rps-22	F53A3.3
171995_x_at	---	W06F12.1
171996_x_at	---	F58A3.2
171997_x_at	---	Y105E8B.1
171998_x_at	---	ZK524.2
171999_x_at	---	T27D12.2
172000_x_at	---	B0336.9
172001_x_at	---	Y105E8B.1
172002_x_at	---	---
172003_x_at	lec-7	R07B1.2
172004_x_at	---	F08B6.4
172005_x_at	---	F39B2.4
172006_x_at	---	K04F10.4
172007_x_at	---	Y106G6H.2
172008_x_at	---	---
172009_x_at	---	Y56A3A.18
172010_x_at	cap-1	D2024.6
172011_x_at	---	H28G03.2
172012_x_at	---	R07E4.6
172013_x_at	byn-1	F57B9.5
172014_x_at	cdc-48.2	C41C4.8
172015_x_at	---	Y82E9BR.17
172016_x_at	sup-17	DY3.7
172017_x_at	dnj-25	W07A8.3
172018_x_at	unc-112	C47E8.7
172019_x_at	---	ZK637.7
172020_x_at	lin-36	F44B9.6
172021_x_at	---	Y39E4B.12
172022_x_at	---	Y73E7A.6
172023_x_at	---	F20C5.2
172024_x_at	---	T27D12.2
172025_x_at	nrf-6	C08B11.4
172026_x_at	---	F11C7.3
172027_x_at	csp-2	Y73B6BL.7
172028_x_at	---	C32E8.10
172029_x_at	---	C32E8.10
172030_x_at	csp-3	Y47H9C.6
172031_x_at	---	T01D1.2
172032_x_at	rnt-1	B0414.2
172033_x_at	daf-2	Y55D5A.5
172034_x_at	nhr-59	T27B7.1
172035_x_at	---	C06C6.5
172036_x_at	ars-1	W02B12.6
172037_x_at	---	ZC416.8
172038_x_at	---	ZC416.8
172039_x_at	---	F14H12.4
172040_x_at	mom-4	F52F12.3
172041_x_at	---	F59C12.2
172042_x_at	---	T06E4.3
172043_x_at	---	F52H3.7
172044_x_at	emb-30	F54C8.3
172045_x_at	---	C01B10.5
172046_x_at	hgo-1	W06D4.1
172047_x_at	gsp-2	F56C9.1 /// F08F8.3
172048_x_at	clh-5	C07H4.2
172049_x_at	---	Y73B3A.10
172050_x_at	---	Y73B3A.9
172051_x_at	---	Y73B3A.11
172052_x_at	---	F07B7.6 /// K06C4.15
172053_x_at	---	---
172054_at	---	---
172055_x_at	his-54 /// his-34 /// his-52 /// his-22 /// his-29 /// his-8 /// his-20 /// his-4 /// his-53 /// his-57 /// his-19 /// his-3 /// his-65 /// his-30 /// his-51 /// his-16 /// his-12 /// his-33 /// his-47 /// his-7 /// his-43 /// his-21	ZK131.10 /// ZK131.6 /// F08G2.2 /// F35H10.11 /// F35H10.1 /// F17E9.13 /// F17E9.9 /// B0035.7 /// F54E12.5 /// H02I12.7 /// F45F2.12 /// F45F2.4 /// F07B7.10 /// F07B7.4 /// F07B7.11 /// F07B7.3 /// K06C4.3 /// K06C4.12 /// K06C4.4 /// K06C4.11 /// T10C6.11 /// T10C6.12
172056_x_at	abu-4	Y5H2A.3
172057_x_at	aha-1	C25A1.11
172058_x_at	---	K11E8.1
172059_x_at	---	C15B12.5
172060_x_at	---	C15B12.5
172061_x_at	---	T21C12.1
172062_x_at	---	C44E12.3
172063_x_at	oat-1	T01B11.7
172064_x_at	rde-1	K08H10.7
172065_x_at	tufm-1	Y71H2AM.23
172066_x_at	glr-1	C06E1.4
172067_x_at	ttx-3	C40H5.5
172068_x_at	cdk-7	Y39G10AL.3
172069_x_at	cpr-3	T10H4.12
172070_x_at	---	K06A9.1
172071_x_at	---	---
172072_x_at	---	C04A2.7
172073_x_at	---	---
172074_x_at	---	Y69A2AR.8
172075_x_at	---	---
172076_x_at	---	Y69A2AR.28
172077_x_at	---	---
172078_x_at	---	---
172079_s_at	---	Y105E8B.6
172080_at	---	---
172081_x_at	---	---
172082_x_at	---	Y41D4B.4
172083_x_at	rps-28	Y41D4B.5
172084_x_at	---	C39F7.2
172085_x_at	---	---
172086_x_at	---	C06E1.5
172087_x_at	---	D2007.3
172088_x_at	---	Y73B3B.3
172089_x_at	gst-40	F56B3.10
172090_at	---	---
172091_x_at	---	---
172092_s_at	---	F53H1.1
172093_x_at	---	Y54B9A.1
172094_x_at	---	---
172095_x_at	---	---
172096_x_at	---	C06E1.6
172097_x_at	---	---
172098_x_at	---	Y47D7A.2
172099_x_at	---	Y22D7AL.2
172100_x_at	mlc-2	C36E6.5
172101_x_at	---	F42G9.9
172102_x_at	---	---
172103_x_at	ttb-1	W03F9.5
172104_x_at	---	---
172105_x_at	---	---
172106_x_at	---	Y54F10AM.7
172107_x_at	---	---
172108_x_at	---	---
172109_x_at	---	Y39G10AR.12
172110_x_at	---	---
172111_x_at	---	---
172112_x_at	---	Y47D7A.10
172113_x_at	---	Y59H11AM.1
172114_at	---	Y19D10A.14
172115_x_at	---	F54H12.4
172116_x_at	---	Y105E8B.3
172117_x_at	---	---
172118_x_at	---	Y57E12B.1
172119_at	---	Y57E12B.2
172120_x_at	---	---
172121_x_at	---	Y47D7A.7
172122_at	---	---
172123_x_at	---	B0350.2
172124_x_at	---	Y65B4A.3
172125_x_at	---	F58B6.3
172126_x_at	---	W07B3.2
172127_x_at	---	F42G9.9
172128_x_at	---	---
172129_x_at	apg-1	Y105E8A.9
172130_at	---	---
172131_x_at	---	---
172132_x_at	---	Y24D9A.7
172133_x_at	vit-3	F59D8.1
172134_x_at	vit-4	F59D8.2
172135_x_at	---	Y5H2A.4
172136_x_at	---	---
172137_s_at	---	Y111B2A.10
172138_x_at	---	F52C6.12
172139_x_at	---	Y46H3D.1
172140_x_at	---	Y10G11A.3
172141_at	---	---
172142_x_at	---	ZC262.1 /// R05D3.5 /// F38H4.6
172143_x_at	---	M02F4.9
172144_x_at	---	F14H12.4
172145_x_at	---	Y66A7A.3
172146_x_at	---	ZC262.1 /// R05D3.5 /// F38H4.6
172147_x_at	---	M116.5
172148_x_at	---	---
172149_x_at	---	C32E8.10
172150_x_at	---	C32E8.10
172151_x_at	---	C32E8.10
172152_x_at	---	C32E8.10
172153_x_at	---	B0350.2
172154_x_at	---	---
172155_x_at	---	---
172156_x_at	---	Y54G2A.36
172157_x_at	---	Y67D8C.2
172158_x_at	---	Y67D8C.1
172159_x_at	---	F41E7.4
172160_x_at	---	F57G4.3
172161_x_at	---	F37D6.4
172162_x_at	---	F16D3.6 /// F35E2.1 /// B0546.5
172163_x_at	---	C06C6.8
172164_x_at	---	C06C6.9
172165_x_at	---	F21D9.3
172166_x_at	---	AH10.4
172167_at	---	M60.4
172168_x_at	---	M162.6
172169_s_at	---	---
172170_at	---	---
172171_x_at	---	---
172172_x_at	---	---
172173_x_at	---	Y73B6BL.28
172174_x_at	---	---
172175_x_at	---	---
