PROBEID	WORMBASE	UNIGENE	GENENAME	ALIAS	ENTREZID	display
171720_x_at	WBGene00013011	Cel.20567	Protein SNX-14	snx-14	174997	snx-14
171721_x_at	WBGene00011344	Cel.121	Protein T01G9.2	T01G9.2	172609	T01G9.2
171722_x_at	WBGene00018934	Cel.12832	Protein F56B3.11	F56B3.11	176907	F56B3.11
171723_x_at	WBGene00006928	Cel.21335	Protein VIT-4	vit-4	180646	vit-4
171724_x_at	WBGene00000386	Cel.17290	Protein CDC-25.1	cdc-25.1	172353	cdc-25.1
171725_x_at	WBGene00000733	Cel.24968	Protein COL-160	col-160	179804	col-160
171726_x_at	WBGene00001080	Cel.1621	Protein DPY-21	dpy-21	180176	dpy-21
171727_x_at	WBGene00015135	Cel.16058	Protein CYP-23A1	cyp-23A1	173787	cyp-23A1
171728_x_at	WBGene00003567	Cel.17722	Protein NCX-2	ncx-2	178918	ncx-2
171729_x_at	WBGene00003825	Cel.18294	Protein NTL-2	ntl-2	173773	ntl-2
171730_x_at	WBGene00006886	Cel.18134	Protein VAP-1	vap-1	181768	vap-1
171731_x_at	WBGene00007433	Cel.5858	Protein SWSN-7	swsn-7	174286	swsn-7
171732_x_at	WBGene00002998	Cel.19461	Protein LIN-9	lin-9	176256	lin-9
171733_x_at	WBGene00017755	Cel.7241	Protein ZIP-8	zip-8	175924	zip-8
171734_x_at	WBGene00006519	Cel.18117	Protein TAG-174	tag-174	175693	tag-174
171735_x_at	WBGene00000720	Cel.2437	Protein COL-147	col-147	179351	col-147
171736_x_at	WBGene00004786	Cel.17916	Protein SEX-1	sex-1	181231	sex-1
171737_x_at	WBGene00011737	Cel.17663	Protein T12G3.1	T12G3.1	178139	T12G3.1
171738_x_at	WBGene00006780	Cel.23117	Protein UNC-44	unc-44	177366	unc-44
171739_x_at	WBGene00018024	Cel.5700	Protein F35A5.1	F35A5.1	259699	F35A5.1
171740_x_at	WBGene00000528	Cel.17014	Protein CLH-1	clh-1	174821	clh-1
171741_x_at	WBGene00016638	Cel.13329	Protein PERM-4	perm-4	176932	perm-4
171742_x_at	WBGene00004814	Cel.189	Protein SKR-8	skr-8	178495	skr-8
171743_x_at	WBGene00019357	Cel.37526	Protein CPG-8	cpg-8	178860	cpg-8
171744_x_at	WBGene00018817	Cel.32837	Protein F54D12.4	F54D12.4	173515	F54D12.4
171745_x_at	WBGene00004225	Cel.6081	Protein PTR-11	ptr-11	171609	ptr-11
171746_x_at	WBGene00008865	Cel.7223	Protein F15G9.1	F15G9.1	181184	F15G9.1
171747_x_at	WBGene00017707	Cel.15328	Protein F22E5.8	F22E5.8	173610	F22E5.8
171748_x_at	WBGene00006794	Cel.17967	Protein UNC-60	unc-60	178640	unc-60
171749_x_at	WBGene00021044	Cel.6872	Protein W05H7.1	W05H7.1	180482	W05H7.1
171750_x_at	WBGene00010813	Cel.34025	Protein PITP-1	pitp-1	175459	pitp-1
171751_x_at	WBGene00008003	Cel.23221	Protein C38D4.1	C38D4.1	175633	C38D4.1
171751_x_at	WBGene00008003	Cel.32705	Protein C38D4.1	C38D4.1	175633	C38D4.1
171752_x_at	WBGene00015966	Cel.5850	Protein C18C4.5	C18C4.5	178941	C18C4.5
171753_x_at	WBGene00003970	Cel.7299	Protein PEK-1	pek-1	181334	pek-1
171754_x_at	WBGene00012443	Cel.17640	Protein Y15E3A.4	Y15E3A.4	181623	Y15E3A.4
171755_x_at	WBGene00001996	Cel.10365	Protein HPL-2	hpl-2	176506	hpl-2
171756_x_at	WBGene00000667	Cel.31451	Protein COL-92	col-92	176528	col-92
171756_x_at	WBGene00000669	Cel.21379	Protein COL-94	col-94	259336	col-94
171757_x_at	WBGene00001996	Cel.10365	Protein HPL-2	hpl-2	176506	hpl-2
171758_x_at	WBGene00009888	Cel.38679	Protein F49E2.5	F49E2.5	181175	F49E2.5
171759_x_at	WBGene00010676	Cel.17122	Protein K08F4.1	K08F4.1	177879	K08F4.1
171760_x_at	WBGene00018967	Cel.5656	Protein F56D2.6	F56D2.6	175771	F56D2.6
171761_x_at	WBGene00004702	Cel.14262	Protein RSP-5	rsp-5	174073	rsp-5
171762_x_at	WBGene00012678	Cel.1812	Protein Y39B6A.16	Y39B6A.16	3565475	Y39B6A.16
171763_x_at	WBGene00022490	Cel.9626	Protein Y119D3B.13	Y119D3B.13	175283	Y119D3B.13
171764_x_at	WBGene00000528	Cel.17014	Protein CLH-1	clh-1	174821	clh-1
171765_x_at	WBGene00002240	Cel.181	Protein KSR-2	ksr-2	173085	ksr-2
171766_x_at	WBGene00009259	Cel.17867	Protein HPO-34	hpo-34	181340	hpo-34
171767_x_at	NA	NA	26S ribosomal RNA	rrn-3.56	13183151	rrn-3.56
171768_x_at	WBGene00000717	Cel.21323	Protein COL-144	col-144	179296	col-144
171768_x_at	WBGene00000599	Cel.34228	Protein COL-10	col-10	179298	col-10
171769_x_at	WBGene00017756	Cel.18123	Protein F23F12.12	F23F12.12	175927	F23F12.12
171770_x_at	WBGene00000668	Cel.21322	Protein COL-93	col-93	259335	col-93
171771_x_at	WBGene00018270	Cel.22159	Protein F41C3.4	F41C3.4	173819	F41C3.4
171772_x_at	WBGene00012458	Cel.8074	Protein ASH-2	ash-2	174838	ash-2
171773_x_at	WBGene00001502	Cel.17467	Protein FTT-2	ftt-2	181348	ftt-2
171774_x_at	NA	NA	NA	NA	NA	171774_x_at
171775_x_at	WBGene00014006	Cel.6028	Protein ZK596.1	ZK596.1	177982	ZK596.1
171776_x_at	WBGene00000465	Cel.23350	Protein CPG-1	cpg-1	175586	cpg-1
171777_x_at	WBGene00017547	Cel.5891	Protein F18A1.6	F18A1.6	174236	F18A1.6
171778_x_at	WBGene00012722	Cel.14081	Protein Y39G8B.1	Y39G8B.1	175047	Y39G8B.1
171779_x_at	WBGene00021353	Cel.16501	Protein IGLR-3	iglr-3	171771	iglr-3
171780_x_at	WBGene00012713	Cel.22981	Protein Y39E4A.3	Y39E4A.3	176716	Y39E4A.3
171781_x_at	WBGene00012344	Cel.16577	Protein TAG-210	tag-210	173205	tag-210
171782_x_at	WBGene00007653	Cel.8499	Protein CYSL-1	cysl-1	181209	cysl-1
171783_x_at	WBGene00006701	Cel.18169	Protein UBC-1	ubc-1	177170	ubc-1
171784_x_at	WBGene00000883	Cel.6641	Protein CYN-7	cyn-7	180027	cyn-7
171785_x_at	WBGene00016496	Cel.17532	Protein C37C3.2	C37C3.2	179165	C37C3.2
171786_x_at	WBGene00004447	Cel.8345	Protein RPL-33	rpl-33	174166	rpl-33
171787_x_at	WBGene00006066	Cel.452	Protein STO-4	sto-4	181350	sto-4
171788_x_at	WBGene00000832	Cel.38795	Protein CTN-1	ctn-1	171818	ctn-1
171789_x_at	WBGene00001168	Cel.22703	Protein EEF-1A.1	eef-1A.1	175975	eef-1A.1
171789_x_at	WBGene00001169	Cel.22703	Protein EEF-1A.1	eef-1A.1	175975	eef-1A.1
171790_x_at	WBGene00021576	Cel.6520	Protein FBXC-51	fbxc-51	173467	fbxc-51
171791_at	WBGene00003071	Cel.18450	Protein LRP-1	lrp-1	172520	lrp-1
171792_x_at	WBGene00006585	Cel.6415	Protein TNI-3	tni-3	180127	tni-3
171793_x_at	WBGene00003171	Cel.6646	Protein MEC-7	mec-7	181036	mec-7
171794_x_at	WBGene00021047	Cel.20064	Protein ZFP-3	zfp-3	180479	zfp-3
171795_x_at	WBGene00020039	Cel.143	Protein R12E2.14	R12E2.14	172001	R12E2.14
171796_x_at	WBGene00015339	Cel.22830	Protein C02E7.6	C02E7.6	178885	C02E7.6
171797_x_at	WBGene00004412	Cel.18297	Protein RPL-1	rpl-1	171853	rpl-1
171798_x_at	WBGene00004430	Cel.34110	Protein RPL-18	rpl-18	178342	rpl-18
171799_x_at	WBGene00009454	Cel.6623	Protein F36A2.7	F36A2.7	172692	F36A2.7
171800_x_at	WBGene00004431	Cel.6672	Protein RPL-19	rpl-19	172201	rpl-19
171801_s_at	WBGene00012226	Cel.38980	Protein W03G11.4	W03G11.4	181377	W03G11.4
171802_s_at	WBGene00013557	Cel.45	Protein Y75B8A.24	Y75B8A.24	176653	Y75B8A.24
171803_x_at	WBGene00019883	Cel.5325	Protein MET-2	met-2	176183	met-2
171804_x_at	WBGene00021248	Cel.18071	Protein Y22D7AL.10	Y22D7AL.10	175315	Y22D7AL.10
171805_x_at	WBGene00001854	Cel.17950	Protein HIL-3	hil-3	181073	hil-3
171806_x_at	WBGene00004698	Cel.6471	Protein RSP-1	rsp-1	174748	rsp-1
171807_x_at	WBGene00015340	Cel.22646	Protein C02E7.7	C02E7.7	178884	C02E7.7
171808_x_at	WBGene00008694	Cel.17008	Protein F11C1.5	F11C1.5	181431	F11C1.5
171809_s_at	WBGene00018852	Cel.16961	Protein F55A3.7	F55A3.7	186272	F55A3.7
171809_s_at	WBGene00018849	Cel.38709	Protein F55A3.3	F55A3.3	172984	F55A3.3
171810_x_at	WBGene00017184	Cel.22670	Protein NCAM-1	ncam-1	180418	ncam-1
171811_s_at	WBGene00010466	Cel.21333	Protein K01D12.15	K01D12.15	179698	K01D12.15
171811_s_at	WBGene00010474	Cel.21333	Protein K01D12.15	K01D12.15	179698	K01D12.15
171811_s_at	WBGene00010474	Cel.3188	Protein K01D12.7	K01D12.7	179701	K01D12.7
171811_s_at	WBGene00010466	Cel.3188	Protein K01D12.7	K01D12.7	179701	K01D12.7
171812_x_at	WBGene00020596	Cel.5672	Protein OGA-1	oga-1	181164	oga-1
171813_x_at	WBGene00002855	Cel.17705	Protein LET-721	let-721	175916	let-721
171814_x_at	WBGene00006529	Cel.7257	Protein TBA-2	tba-2	173167	tba-2
171815_x_at	WBGene00003876	Cel.19639	Protein PEPT-2	pept-2	177973	pept-2
171816_x_at	WBGene00019333	Cel.10323	Protein MOMA-1	moma-1	175243	moma-1
171817_x_at	WBGene00021427	Cel.6983	Protein Y38F2AR.9	Y38F2AR.9	177027	Y38F2AR.9
171818_x_at	WBGene00007227	Cel.38654	Protein C01G6.5	C01G6.5	174470	C01G6.5
171819_x_at	WBGene00004723	Cel.30808	Protein SAP-49	sap-49	4363023	sap-49
171820_x_at	WBGene00011474	Cel.6851	Protein ALDO-1	aldo-1	176788	aldo-1
171821_x_at	WBGene00006517	Cel.5788	Protein TAG-172	tag-172	3565068	tag-172
171822_x_at	WBGene00001686	Cel.21347	Protein GPD-4	gpd-4	174578	gpd-4
171822_x_at	WBGene00001683	Cel.6897	Protein GPD-1	gpd-1	174603	gpd-1
171823_x_at	WBGene00021004	Cel.22626	Protein W03F9.10	W03F9.10	178542	W03F9.10
171824_x_at	WBGene00001501	Cel.18344	Protein FTN-2	ftn-2	171934	ftn-2
171825_at	WBGene00020007	Cel.17478	Protein R11F4.1	R11F4.1	173747	R11F4.1
171826_x_at	WBGene00006794	Cel.17967	Protein UNC-60	unc-60	178640	unc-60
171827_x_at	WBGene00000370	Cel.6073	Protein CCG-1	ccg-1	178426	ccg-1
171828_x_at	WBGene00007024	Cel.16925	Protein MDT-28	mdt-28	172437	mdt-28
171829_x_at	WBGene00001404	Cel.6833	Protein FBP-1	fbp-1	266822	fbp-1
171830_x_at	WBGene00013002	Cel.6913	Protein Y48E1B.3	Y48E1B.3	174999	Y48E1B.3
171831_x_at	WBGene00021883	Cel.19407	Protein Y54G2A.18	Y54G2A.18	177072	Y54G2A.18
171832_s_at	WBGene00012983	Cel.17359	Protein MEN-1	men-1	175079	men-1
171833_x_at	WBGene00007225	Cel.16008	Protein C01G6.3	C01G6.3	174469	C01G6.3
171834_x_at	WBGene00022501	Cel.7395	Protein ZC8.6	ZC8.6	180770	ZC8.6
171835_x_at	WBGene00004699	Cel.7900	Protein RSP-2	rsp-2	174747	rsp-2
171836_x_at	WBGene00011015	Cel.17985	Protein R04F11.2	R04F11.2	179690	R04F11.2
171837_x_at	WBGene00012376	Cel.18304	Protein NDUF-7	nduf-7	172734	nduf-7
171838_x_at	WBGene00000090	Cel.18292	Protein AGE-1	age-1	174762	age-1
171839_x_at	WBGene00016905	Cel.19070	Protein ZTF-3	ztf-3	171617	ztf-3
171840_x_at	WBGene00002056	Cel.17653	Protein IFC-2	ifc-2	180414	ifc-2
171841_x_at	WBGene00001955	Cel.17799	Protein HLH-11	hlh-11	176360	hlh-11
171842_x_at	WBGene00007010	Cel.19623	Protein ALX-1	alx-1	176410	alx-1
171843_x_at	WBGene00003798	Cel.23512	Protein NPP-12	npp-12	172348	npp-12
171844_x_at	WBGene00022376	Cel.11721	Protein Y94H6A.3	Y94H6A.3	177052	Y94H6A.3
171845_x_at	NA	NA	NA	NA	NA	171845_x_at
171846_x_at	NA	Cel.6709	Protein GCN-1	gcn-1	190051	gcn-1
171847_s_at	WBGene00012186	Cel.20885	Protein MLT-11	mlt-11	180352	mlt-11
171848_x_at	WBGene00006562	Cel.32813	Protein TDC-1	tdc-1	174327	tdc-1
171849_x_at	WBGene00001458	Cel.18052	Protein FLP-15	flp-15	176803	flp-15
171850_x_at	WBGene00019401	Cel.17542	Protein NUO-4	nuo-4	176001	nuo-4
171851_x_at	WBGene00021536	Cel.22819	Protein Y42H9AR.1	Y42H9AR.1	177604	Y42H9AR.1
171852_x_at	WBGene00005644	Cel.19888	Protein SRP-3	srp-3	178672	srp-3
171853_x_at	WBGene00009259	Cel.17867	Protein HPO-34	hpo-34	181340	hpo-34
171854_x_at	WBGene00004126	Cel.17204	Protein PQN-39	pqn-39	181506	pqn-39
171855_x_at	WBGene00013340	Cel.38706	Protein Y59A8A.3	Y59A8A.3	180167	Y59A8A.3
171856_x_at	WBGene00003370	Cel.31844	Protein MLC-2	mlc-2	181775	mlc-2
171857_x_at	WBGene00020897	Cel.14264	Protein DEL-10	del-10	174069	del-10
171858_x_at	WBGene00004338	Cel.7211	Protein RFC-2	rfc-2	176946	rfc-2
171859_x_at	WBGene00011510	Cel.38645	Protein PDHA-1	pdha-1	3565996	pdha-1
171860_x_at	WBGene00002035	Cel.17027	Protein HUM-1	hum-1	172698	hum-1
171861_x_at	NA	NA	NA	NA	NA	171861_x_at
171862_s_at	WBGene00019957	Cel.16852	Protein R08E3.1	R08E3.1	180758	R08E3.1
171863_x_at	WBGene00015181	Cel.17387	Protein B0416.5	B0416.5	181158	B0416.5
171864_x_at	NA	NA	NA	NA	NA	171864_x_at
171865_x_at	NA	NA	NA	NA	NA	171865_x_at
171866_x_at	WBGene00008852	Cel.23118	Protein UBQL-1	ubql-1	172434	ubql-1
171867_x_at	WBGene00003467	Cel.34229	Protein MSP-31	msp-31	173849	msp-31
171867_x_at	WBGene00003438	Cel.34229	Protein MSP-31	msp-31	173849	msp-31
171867_x_at	WBGene00003458	Cel.34229	Protein MSP-31	msp-31	173849	msp-31
171867_x_at	WBGene00003452	Cel.34229	Protein MSP-31	msp-31	173849	msp-31
171867_x_at	WBGene00003469	Cel.34229	Protein MSP-31	msp-31	173849	msp-31
171867_x_at	WBGene00003457	Cel.34229	Protein MSP-31	msp-31	173849	msp-31
171867_x_at	WBGene00003426	Cel.34229	Protein MSP-31	msp-31	173849	msp-31
171867_x_at	WBGene00003444	Cel.34229	Protein MSP-31	msp-31	173849	msp-31
171867_x_at	WBGene00003468	Cel.34229	Protein MSP-31	msp-31	173849	msp-31
171867_x_at	WBGene00003446	Cel.34229	Protein MSP-31	msp-31	173849	msp-31
171867_x_at	WBGene00003435	Cel.34229	Protein MSP-31	msp-31	173849	msp-31
171867_x_at	WBGene00003429	Cel.34229	Protein MSP-31	msp-31	173849	msp-31
171867_x_at	WBGene00003443	Cel.34229	Protein MSP-31	msp-31	173849	msp-31
171867_x_at	WBGene00003448	Cel.21337	Protein MSP-55	msp-55	177272	msp-55
171867_x_at	WBGene00003450	Cel.21337	Protein MSP-55	msp-55	177272	msp-55
171867_x_at	WBGene00003450	Cel.21354	Protein MSP-57	msp-57	177274	msp-57
171867_x_at	WBGene00003448	Cel.21354	Protein MSP-57	msp-57	177274	msp-57
171867_x_at	WBGene00003452	Cel.21355	Protein MSP-53	msp-53	177275	msp-53
171867_x_at	WBGene00003457	Cel.21355	Protein MSP-53	msp-53	177275	msp-53
171867_x_at	WBGene00003458	Cel.21355	Protein MSP-53	msp-53	177275	msp-53
171867_x_at	WBGene00003468	Cel.21355	Protein MSP-53	msp-53	177275	msp-53
171867_x_at	WBGene00003429	Cel.21355	Protein MSP-53	msp-53	177275	msp-53
171867_x_at	WBGene00003443	Cel.21355	Protein MSP-53	msp-53	177275	msp-53
171867_x_at	WBGene00003426	Cel.21355	Protein MSP-53	msp-53	177275	msp-53
171867_x_at	WBGene00003444	Cel.21355	Protein MSP-53	msp-53	177275	msp-53
171867_x_at	WBGene00003435	Cel.21355	Protein MSP-53	msp-53	177275	msp-53
171867_x_at	WBGene00003446	Cel.21355	Protein MSP-53	msp-53	177275	msp-53
171867_x_at	WBGene00003467	Cel.21355	Protein MSP-53	msp-53	177275	msp-53
171867_x_at	WBGene00003438	Cel.21355	Protein MSP-53	msp-53	177275	msp-53
171867_x_at	WBGene00003469	Cel.21355	Protein MSP-53	msp-53	177275	msp-53
171867_x_at	WBGene00022002	Cel.8147	Protein Y59E9AR.7	Y59E9AR.7	177300	Y59E9AR.7
171867_x_at	WBGene00021997	Cel.8147	Protein Y59E9AR.7	Y59E9AR.7	177300	Y59E9AR.7
171867_x_at	WBGene00021997	Cel.32609	Protein Y59E9AR.1	Y59E9AR.1	177301	Y59E9AR.1
171867_x_at	WBGene00022002	Cel.32609	Protein Y59E9AR.1	Y59E9AR.1	177301	Y59E9AR.1
171867_x_at	WBGene00003429	Cel.34224	Protein MSP-19	msp-19	177305	msp-19
171867_x_at	WBGene00003457	Cel.34224	Protein MSP-19	msp-19	177305	msp-19
171867_x_at	WBGene00003458	Cel.34224	Protein MSP-19	msp-19	177305	msp-19
171867_x_at	WBGene00003452	Cel.34224	Protein MSP-19	msp-19	177305	msp-19
171867_x_at	WBGene00003469	Cel.34224	Protein MSP-19	msp-19	177305	msp-19
171867_x_at	WBGene00003443	Cel.34224	Protein MSP-19	msp-19	177305	msp-19
171867_x_at	WBGene00003438	Cel.34224	Protein MSP-19	msp-19	177305	msp-19
171867_x_at	WBGene00003467	Cel.34224	Protein MSP-19	msp-19	177305	msp-19
171867_x_at	WBGene00003468	Cel.34224	Protein MSP-19	msp-19	177305	msp-19
171867_x_at	WBGene00003435	Cel.34224	Protein MSP-19	msp-19	177305	msp-19
171867_x_at	WBGene00003426	Cel.34224	Protein MSP-19	msp-19	177305	msp-19
171867_x_at	WBGene00003446	Cel.34224	Protein MSP-19	msp-19	177305	msp-19
171867_x_at	WBGene00003444	Cel.34224	Protein MSP-19	msp-19	177305	msp-19
171867_x_at	WBGene00003426	Cel.30510	Protein MSP-59	msp-59	177309	msp-59
171867_x_at	WBGene00003467	Cel.30510	Protein MSP-59	msp-59	177309	msp-59
171867_x_at	WBGene00003446	Cel.30510	Protein MSP-59	msp-59	177309	msp-59
171867_x_at	WBGene00003444	Cel.30510	Protein MSP-59	msp-59	177309	msp-59
171867_x_at	WBGene00003452	Cel.30510	Protein MSP-59	msp-59	177309	msp-59
171867_x_at	WBGene00003429	Cel.30510	Protein MSP-59	msp-59	177309	msp-59
171867_x_at	WBGene00003435	Cel.30510	Protein MSP-59	msp-59	177309	msp-59
171867_x_at	WBGene00003468	Cel.30510	Protein MSP-59	msp-59	177309	msp-59
171867_x_at	WBGene00003458	Cel.30510	Protein MSP-59	msp-59	177309	msp-59
171867_x_at	WBGene00003469	Cel.30510	Protein MSP-59	msp-59	177309	msp-59
171867_x_at	WBGene00003443	Cel.30510	Protein MSP-59	msp-59	177309	msp-59
171867_x_at	WBGene00003457	Cel.30510	Protein MSP-59	msp-59	177309	msp-59
171867_x_at	WBGene00003438	Cel.30510	Protein MSP-59	msp-59	177309	msp-59
171867_x_at	WBGene00003429	Cel.21394	Protein MSP-65	msp-65	177311	msp-65
171867_x_at	WBGene00003444	Cel.21394	Protein MSP-65	msp-65	177311	msp-65
171867_x_at	WBGene00003438	Cel.21394	Protein MSP-65	msp-65	177311	msp-65
171867_x_at	WBGene00003467	Cel.21394	Protein MSP-65	msp-65	177311	msp-65
171867_x_at	WBGene00003426	Cel.21394	Protein MSP-65	msp-65	177311	msp-65
171867_x_at	WBGene00003452	Cel.21394	Protein MSP-65	msp-65	177311	msp-65
171867_x_at	WBGene00003435	Cel.21394	Protein MSP-65	msp-65	177311	msp-65
171867_x_at	WBGene00003443	Cel.21394	Protein MSP-65	msp-65	177311	msp-65
171867_x_at	WBGene00003458	Cel.21394	Protein MSP-65	msp-65	177311	msp-65
171867_x_at	WBGene00003469	Cel.21394	Protein MSP-65	msp-65	177311	msp-65
171867_x_at	WBGene00003468	Cel.21394	Protein MSP-65	msp-65	177311	msp-65
171867_x_at	WBGene00003457	Cel.21394	Protein MSP-65	msp-65	177311	msp-65
171867_x_at	WBGene00003446	Cel.21394	Protein MSP-65	msp-65	177311	msp-65
171867_x_at	WBGene00003466	Cel.21401	Protein MSP-79	msp-79	177812	msp-79
171867_x_at	WBGene00003464	Cel.21401	Protein MSP-79	msp-79	177812	msp-79
171867_x_at	WBGene00003465	Cel.21330	Protein MSP-78	msp-78	177814	msp-78
171867_x_at	WBGene00003426	Cel.18187	Protein MSP-81	msp-81	177827	msp-81
171867_x_at	WBGene00003469	Cel.18187	Protein MSP-81	msp-81	177827	msp-81
171867_x_at	WBGene00003438	Cel.18187	Protein MSP-81	msp-81	177827	msp-81
171867_x_at	WBGene00003452	Cel.18187	Protein MSP-81	msp-81	177827	msp-81
171867_x_at	WBGene00003458	Cel.18187	Protein MSP-81	msp-81	177827	msp-81
171867_x_at	WBGene00003443	Cel.18187	Protein MSP-81	msp-81	177827	msp-81
171867_x_at	WBGene00003444	Cel.18187	Protein MSP-81	msp-81	177827	msp-81
171867_x_at	WBGene00003435	Cel.18187	Protein MSP-81	msp-81	177827	msp-81
171867_x_at	WBGene00003446	Cel.18187	Protein MSP-81	msp-81	177827	msp-81
171867_x_at	WBGene00003429	Cel.18187	Protein MSP-81	msp-81	177827	msp-81
171867_x_at	WBGene00003467	Cel.18187	Protein MSP-81	msp-81	177827	msp-81
171867_x_at	WBGene00003457	Cel.18187	Protein MSP-81	msp-81	177827	msp-81
171867_x_at	WBGene00003468	Cel.18187	Protein MSP-81	msp-81	177827	msp-81
171867_x_at	WBGene00003468	Cel.21338	Protein MSP-51	msp-51	191292	msp-51
171867_x_at	WBGene00003426	Cel.21338	Protein MSP-51	msp-51	191292	msp-51
171867_x_at	WBGene00003469	Cel.21338	Protein MSP-51	msp-51	191292	msp-51
171867_x_at	WBGene00003446	Cel.21338	Protein MSP-51	msp-51	191292	msp-51
171867_x_at	WBGene00003457	Cel.21338	Protein MSP-51	msp-51	191292	msp-51
171867_x_at	WBGene00003438	Cel.21338	Protein MSP-51	msp-51	191292	msp-51
171867_x_at	WBGene00003467	Cel.21338	Protein MSP-51	msp-51	191292	msp-51
171867_x_at	WBGene00003443	Cel.21338	Protein MSP-51	msp-51	191292	msp-51
171867_x_at	WBGene00003452	Cel.21338	Protein MSP-51	msp-51	191292	msp-51
171867_x_at	WBGene00003458	Cel.21338	Protein MSP-51	msp-51	191292	msp-51
171867_x_at	WBGene00003429	Cel.21338	Protein MSP-51	msp-51	191292	msp-51
171867_x_at	WBGene00003435	Cel.21338	Protein MSP-51	msp-51	191292	msp-51
171867_x_at	WBGene00003444	Cel.21338	Protein MSP-51	msp-51	191292	msp-51
171867_x_at	WBGene00003467	Cel.21393	Protein MSP-113	msp-113	259801	msp-113
171867_x_at	WBGene00003457	Cel.21393	Protein MSP-113	msp-113	259801	msp-113
171867_x_at	WBGene00003444	Cel.21393	Protein MSP-113	msp-113	259801	msp-113
171867_x_at	WBGene00003468	Cel.21393	Protein MSP-113	msp-113	259801	msp-113
171867_x_at	WBGene00003443	Cel.21393	Protein MSP-113	msp-113	259801	msp-113
171867_x_at	WBGene00003429	Cel.21393	Protein MSP-113	msp-113	259801	msp-113
171867_x_at	WBGene00003469	Cel.21393	Protein MSP-113	msp-113	259801	msp-113
171867_x_at	WBGene00003438	Cel.21393	Protein MSP-113	msp-113	259801	msp-113
171867_x_at	WBGene00003452	Cel.21393	Protein MSP-113	msp-113	259801	msp-113
171867_x_at	WBGene00003446	Cel.21393	Protein MSP-113	msp-113	259801	msp-113
171867_x_at	WBGene00003435	Cel.21393	Protein MSP-113	msp-113	259801	msp-113
171867_x_at	WBGene00003458	Cel.21393	Protein MSP-113	msp-113	259801	msp-113
171867_x_at	WBGene00003426	Cel.21393	Protein MSP-113	msp-113	259801	msp-113
171868_x_at	NA	Cel.17169	Protein Y71G12B.11	Y71G12B.11	171736	Y71G12B.11
171869_at	WBGene00020504	Cel.16854	Protein SVH-2	svh-2	180929	svh-2
171870_x_at	WBGene00000796	Cel.7455	Protein CRN-3	crn-3	3565889	crn-3
171871_x_at	WBGene00004706	Cel.6655	Protein RSR-1	rsr-1	173013	rsr-1
171872_s_at	WBGene00013434	Cel.32935	Protein Y66D12A.8	Y66D12A.8	176589	Y66D12A.8
171873_x_at	WBGene00001443	Cel.5659	Protein FLI-1	fli-1	176215	fli-1
171874_x_at	WBGene00001168	Cel.22702	Protein EEF-1A.2	eef-1A.2	181044	eef-1A.2
171874_x_at	WBGene00001169	Cel.22702	Protein EEF-1A.2	eef-1A.2	181044	eef-1A.2
171875_x_at	WBGene00021359	Cel.12110	Protein Y37E11AL.3	Y37E11AL.3	177130	Y37E11AL.3
171876_at	WBGene00010279	Cel.17712	Protein LETM-1	letm-1	179854	letm-1
171877_x_at	WBGene00002048	Cel.5232	Protein IDA-1	ida-1	175807	ida-1
171878_s_at	WBGene00001971	Cel.7507	Protein HMG-1.1	hmg-1.1	175081	hmg-1.1
171879_x_at	WBGene00019209	Cel.17148	Protein H17B01.4	H17B01.4	173524	H17B01.4
171880_x_at	WBGene00016058	Cel.21489	Protein NSPD-3	nspd-3	259569	nspd-3
171880_x_at	WBGene00043147	Cel.21489	Protein NSPD-3	nspd-3	259569	nspd-3
171880_x_at	WBGene00016058	Cel.35495	Protein NSPD-6	nspd-6	4926899	nspd-6
171880_x_at	WBGene00043147	Cel.35495	Protein NSPD-6	nspd-6	4926899	nspd-6
171881_x_at	WBGene00001137	Cel.17890	Protein EAT-6	eat-6	179796	eat-6
171882_x_at	WBGene00006699	Cel.16912	Protein UBA-1	uba-1	177855	uba-1
171883_x_at	WBGene00019341	Cel.14822	Protein K02F6.7	K02F6.7	173604	K02F6.7
171884_x_at	WBGene00010337	Cel.23051	Protein F59F4.2	F59F4.2	181669	F59F4.2
171885_x_at	NA	Cel.17228	Protein TAG-319	tag-319	174029	tag-319
171886_x_at	WBGene00000776	Cel.17971	Protein CPL-1	cpl-1	180111	cpl-1
171887_x_at	WBGene00012712	Cel.9824	Protein TTM-1	ttm-1	176715	ttm-1
171888_x_at	WBGene00012558	Cel.6633	Protein Y37D8A.21	Y37D8A.21	176710	Y37D8A.21
171889_x_at	WBGene00019380	Cel.4964	Protein K04C2.2	K04C2.2	175960	K04C2.2
171890_x_at	WBGene00002217	Cel.17147	Protein KLP-4	klp-4	180608	klp-4
171891_at	NA	NA	NADH dehydrogenase subunit 5	ND5	2565703	ND5
171892_x_at	WBGene00001602	Cel.24817	Protein GLN-1	gln-1	180875	gln-1
171893_x_at	WBGene00003155	Cel.17485	Protein MCM-3	mcm-3	180010	mcm-3
171894_x_at	WBGene00006476	Cel.5048	Protein RHGF-2	rhgf-2	173748	rhgf-2
171895_s_at	WBGene00012468	Cel.22721	Protein Y17G7B.17	Y17G7B.17	174849	Y17G7B.17
171896_x_at	WBGene00009680	Cel.5746	Protein MSD-1	msd-1	177863	msd-1
